Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Reward_Total,Reward_r_soh,Reward_r_time,Reward_delta_soh,Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
2.0,2.0,0.01,1,0.995997,83.79,1080.0,2470.05,0.849344,0.703338,0.99535,0.027054,32.11,43.6073,4.8454,2.7684,0.027054,0.002299,0.0
2.0,2.0,0.01,2,0.995639,83.59,1080.0,2470.32,0.849717,0.704084,0.995349,0.026833,32.11,53.2981,4.8437,2.7685,0.053887,0.004595,0.0
2.0,2.0,0.01,3,0.995284,83.37,1080.0,2470.74,0.850081,0.704814,0.995348,0.026618,32.11,62.9857,4.842,2.7686,0.080506,0.006889,0.0
2.0,2.0,0.01,4,0.994932,83.13,1080.0,2471.18,0.850438,0.705529,0.995348,0.02641,32.11,72.6701,4.8403,2.7687,0.106915,0.00918,0.0
2.0,2.0,0.01,5,0.994474,82.84,1080.0,2471.71,0.820341,0.645335,0.995346,0.049367,32.11,82.3504,4.838,2.7688,0.143917,0.022277,0.01081
2.0,2.0,0.01,6,0.993851,82.43,1080.0,2472.08,0.790346,0.585345,0.995347,0.0866,32.11,92.0253,4.835,2.7689,0.197213,0.051896,0.038146
2.0,2.0,0.01,7,0.993234,81.83,1080.0,2472.38,0.788911,0.582474,0.995348,0.08885,32.11,101.6942,4.832,2.7691,0.25011,0.081319,0.065291
2.0,2.0,0.01,8,0.99262,81.09,1080.0,2472.71,0.787535,0.57972,0.99535,0.091055,32.11,111.3571,4.829,2.7692,0.30262,0.110553,0.09225
2.0,2.0,0.01,9,0.992011,80.23,1080.0,2473.19,0.786212,0.577073,0.995352,0.093217,32.11,121.0141,4.826,2.7694,0.354751,0.139601,0.119027
2.0,2.0,0.01,10,0.991407,79.25,1080.0,2473.85,0.78494,0.574526,0.995353,0.095338,32.11,130.6648,4.8231,2.7695,0.406513,0.16847,0.145628
2.0,2.0,0.01,11,0.990807,78.18,1080.0,2474.55,0.783714,0.572073,0.995355,0.09742,32.11,140.3097,4.8202,2.7697,0.457916,0.197163,0.172058
2.0,2.0,0.01,12,0.99021,77.02,1080.0,2475.44,0.782531,0.569707,0.995356,0.099464,32.11,149.9489,4.8173,2.7698,0.508967,0.225686,0.19832
2.0,2.0,0.01,13,0.989618,75.8,1080.0,2476.34,0.78139,0.567423,0.995358,0.101471,32.11,159.582,4.8144,2.7699,0.559677,0.254042,0.224418
2.0,2.0,0.01,14,0.98903,74.53,1080.0,2477.39,0.780287,0.565215,0.995359,0.103444,32.11,169.2093,4.8115,2.7701,0.610052,0.282236,0.250358
2.0,2.0,0.01,15,0.988446,73.23,1080.0,2478.46,0.77922,0.563081,0.99536,0.105383,32.11,178.8312,4.8087,2.7702,0.6601,0.31027,0.276142
2.0,2.0,0.01,16,0.987865,71.9,1080.0,2479.55,0.778187,0.561014,0.995361,0.107289,32.11,188.4474,4.8059,2.7704,0.709829,0.33815,0.301775
2.0,2.0,0.01,17,0.987288,70.56,1080.0,2480.69,0.777187,0.559011,0.995362,0.109163,32.11,198.0582,4.8031,2.7705,0.759246,0.365879,0.32726
2.0,2.0,0.01,18,0.986715,69.22,1080.0,2481.82,0.776216,0.55707,0.995363,0.111007,32.11,207.6637,4.8003,2.7706,0.808357,0.393459,0.3526
2.0,2.0,0.01,19,0.986145,67.88,1080.0,2482.93,0.775275,0.555186,0.995364,0.112822,32.11,217.2637,4.7975,2.7708,0.85717,0.420895,0.377798
2.0,2.0,0.01,20,0.985578,66.55,1080.0,2484.01,0.774361,0.553357,0.995365,0.114608,32.11,226.858,4.7948,2.7709,0.90569,0.448189,0.402859
2.0,2.0,0.01,21,0.985015,65.24,1080.0,2484.96,0.773473,0.55158,0.995367,0.116365,32.11,236.4469,4.792,2.771,0.953923,0.475345,0.427783
2.0,2.0,0.01,22,0.984455,63.94,1080.0,2485.96,0.77261,0.549852,0.995368,0.118096,32.11,246.0303,4.7893,2.7712,1.001875,0.502365,0.452575
2.0,2.0,0.01,23,0.983898,62.68,1080.0,2486.88,0.771771,0.548172,0.995369,0.119801,32.11,255.6082,4.7866,2.7713,1.049552,0.529252,0.477238
2.0,2.0,0.01,24,0.983344,61.44,1080.0,2487.77,0.770953,0.546535,0.995371,0.121481,32.11,265.1806,4.7839,2.7714,1.096959,0.556008,0.501773
2.0,2.0,0.01,25,0.982793,60.23,1080.0,2488.63,0.770157,0.544942,0.995373,0.123136,32.11,274.7475,4.7812,2.7716,1.144101,0.582637,0.526184
2.0,2.0,0.01,26,0.982245,59.05,1080.0,2489.45,0.769381,0.543388,0.995374,0.124768,32.19,284.309,4.7785,2.7717,1.190984,0.609141,0.550472
2.0,2.0,0.01,27,0.9817,57.9,1080.0,2490.22,0.768625,0.541874,0.995376,0.126377,32.19,293.8651,4.7759,2.7718,1.237613,0.635522,0.574641
2.0,2.0,0.01,28,0.981158,56.78,1080.0,2490.95,0.767887,0.540396,0.995378,0.127964,32.19,303.4158,4.7732,2.7719,1.283992,0.661783,0.598693
2.0,2.0,0.01,29,0.980619,55.71,1080.0,2491.63,0.767167,0.538954,0.99538,0.129529,32.19,312.9613,4.7706,2.7721,1.330125,0.687925,0.62263
