checkpoint,source,trace_role,voltage_v,dq_dv,ica
1,sim,low_rate_discharge,2.500009999999998,-0.24140713458125426,-0.24140713458125426
1,sim,low_rate_discharge,2.506572593507693,-0.241407134581209,-0.241407134581209
1,sim,low_rate_discharge,2.513135187015388,-0.24050160324981107,-0.24050160324981107
1,sim,low_rate_discharge,2.519697780523083,-0.23922868911273554,-0.23922868911273554
1,sim,low_rate_discharge,2.526260374030778,-0.2388613063068874,-0.2388613063068874
1,sim,low_rate_discharge,2.5328229675384732,-0.23886130630694424,-0.23886130630694424
1,sim,low_rate_discharge,2.5393855610461684,-0.23886130630694424,-0.23886130630694424
1,sim,low_rate_discharge,2.545948154553863,-0.23807960637060432,-0.23807960637060432
1,sim,low_rate_discharge,2.5525107480615583,-0.2361017796729925,-0.2361017796729925
1,sim,low_rate_discharge,2.5590733415692535,-0.23490565291189114,-0.23490565291189114
1,sim,low_rate_discharge,2.5656359350769486,-0.23490565291189114,-0.23490565291189114
1,sim,low_rate_discharge,2.572198528584644,-0.2349056529118343,-0.2349056529118343
1,sim,low_rate_discharge,2.5787611220923385,-0.23490565291189114,-0.23490565291189114
1,sim,low_rate_discharge,2.5853237156000337,-0.23157310899244976,-0.23157310899244976
1,sim,low_rate_discharge,2.591886309107729,-0.22820540160552127,-0.22820540160552127
1,sim,low_rate_discharge,2.598448902615424,-0.22817023813797732,-0.22817023813797732
1,sim,low_rate_discharge,2.6050114961231188,-0.22817023813803416,-0.22817023813803416
1,sim,low_rate_discharge,2.611574089630814,-0.22817023813803416,-0.22817023813803416
1,sim,low_rate_discharge,2.618136683138509,-0.22513358475168843,-0.22513358475168843
1,sim,low_rate_discharge,2.6246992766462043,-0.21797696758545726,-0.21797696758545726
1,sim,low_rate_discharge,2.6312618701538995,-0.2138570038056855,-0.2138570038056855
1,sim,low_rate_discharge,2.637824463661594,-0.2138570038057992,-0.2138570038057992
1,sim,low_rate_discharge,2.6443870571692893,-0.21385700380574235,-0.21385700380574235
1,sim,low_rate_discharge,2.6509496506769845,-0.21385700380574235,-0.21385700380574235
1,sim,low_rate_discharge,2.6575122441846797,-0.20931297571416962,-0.20931297571416962
1,sim,low_rate_discharge,2.6640748376923744,-0.1999745236880699,-0.1999745236880699
1,sim,low_rate_discharge,2.6706374312000696,-0.19518009975337236,-0.19518009975337236
1,sim,low_rate_discharge,2.6772000247077647,-0.19518009975337236,-0.19518009975337236
1,sim,low_rate_discharge,2.68376261821546,-0.19518009975337236,-0.19518009975337236
1,sim,low_rate_discharge,2.690325211723155,-0.19518009975337236,-0.19518009975337236
1,sim,low_rate_discharge,2.69688780523085,-0.19518009975337236,-0.19518009975337236
1,sim,low_rate_discharge,2.703450398738545,-0.19345510447703873,-0.19345510447703873
1,sim,low_rate_discharge,2.71001299224624,-0.19169614069630825,-0.19169614069630825
1,sim,low_rate_discharge,2.7165755857539353,-0.19166217219174086,-0.19166217219174086
1,sim,low_rate_discharge,2.7231381792616305,-0.19166217219168402,-0.19166217219168402
1,sim,low_rate_discharge,2.729700772769325,-0.19166217219174086,-0.19166217219174086
1,sim,low_rate_discharge,2.7362633662770204,-0.19166217219174086,-0.19166217219174086
1,sim,low_rate_discharge,2.7428259597847156,-0.19669849179206267,-0.19669849179206267
1,sim,low_rate_discharge,2.7493885532924107,-0.21087059314191947,-0.21087059314191947
1,sim,low_rate_discharge,2.755951146800106,-0.22000637489139763,-0.22000637489139763
1,sim,low_rate_discharge,2.7625137403078006,-0.22000637489156816,-0.22000637489156816
1,sim,low_rate_discharge,2.769076333815496,-0.2200063748915113,-0.2200063748915113
1,sim,low_rate_discharge,2.775638927323191,-0.2200063748915113,-0.2200063748915113
1,sim,low_rate_discharge,2.782201520830886,-0.24241859046486525,-0.24241859046486525
1,sim,low_rate_discharge,2.788764114338581,-0.2808211660653228,-0.2808211660653228
1,sim,low_rate_discharge,2.795326707846276,-0.29681152609231276,-0.29681152609231276
1,sim,low_rate_discharge,2.801889301353971,-0.2968115260922559,-0.2968115260922559
1,sim,low_rate_discharge,2.8084518948616664,-0.30594665517509156,-0.30594665517509156
1,sim,low_rate_discharge,2.8150144883693615,-0.33585881898062553,-0.33585881898062553
1,sim,low_rate_discharge,2.8215770818770562,-0.3566358537034944,-0.3566358537034944
1,sim,low_rate_discharge,2.8281396753847514,-0.3566358537035512,-0.3566358537035512
1,sim,low_rate_discharge,2.8347022688924466,-0.3434084148502734,-0.3434084148502734
1,sim,low_rate_discharge,2.8412648624001418,-0.3256496249028942,-0.3256496249028942
1,sim,low_rate_discharge,2.8478274559078365,-0.3211182738089633,-0.3211182738089633
1,sim,low_rate_discharge,2.8543900494155316,-0.32111827380879276,-0.32111827380879276
1,sim,low_rate_discharge,2.860952642923227,-0.3062155535982356,-0.3062155535982356
1,sim,low_rate_discharge,2.867515236430922,-0.2873623414892563,-0.2873623414892563
1,sim,low_rate_discharge,2.874077829938617,-0.2834118495908342,-0.2834118495908342
1,sim,low_rate_discharge,2.880640423446312,-0.2834118495909479,-0.2834118495909479
1,sim,low_rate_discharge,2.887203016954007,-0.2901898689067366,-0.2901898689067366
1,sim,low_rate_discharge,2.893765610461702,-0.3120563308928581,-0.3120563308928581
1,sim,low_rate_discharge,2.9003282039693974,-0.32714477356319094,-0.32714477356319094
1,sim,low_rate_discharge,2.906890797477092,-0.3271447735633046,-0.3271447735633046
1,sim,low_rate_discharge,2.9134533909847873,-0.37476604893277,-0.37476604893277
1,sim,low_rate_discharge,2.9200159844924825,-0.4859163212261137,-0.4859163212261137
1,sim,low_rate_discharge,2.9265785780001776,-0.572546227928342,-0.572546227928342
1,sim,low_rate_discharge,2.933141171507873,-0.7694173105244317,-0.7694173105244317
1,sim,low_rate_discharge,2.9397037650155675,-0.8778566366771656,-0.8778566366771656
1,sim,low_rate_discharge,2.9462663585232627,-0.7746743419499467,-0.7746743419499467
1,sim,low_rate_discharge,2.952828952030958,-0.613178375188113,-0.613178375188113
1,sim,low_rate_discharge,2.959391545538653,-0.48953385648837866,-0.48953385648837866
1,sim,low_rate_discharge,2.9659541390463477,-0.47404429824609906,-0.47404429824609906
1,sim,low_rate_discharge,2.972516732554043,-0.44514057599911894,-0.44514057599911894
1,sim,low_rate_discharge,2.979079326061738,-0.43172641199470263,-0.43172641199470263
1,sim,low_rate_discharge,2.9856419195694333,-0.4504257205566091,-0.4504257205566091
1,sim,low_rate_discharge,2.9922045130771284,-0.48187249328486814,-0.48187249328486814
1,sim,low_rate_discharge,2.998767106584823,-0.49650361003415355,-0.49650361003415355
1,sim,low_rate_discharge,3.0053297000925183,-0.565342440885388,-0.565342440885388
1,sim,low_rate_discharge,3.0118922936002135,-0.6337141569295,-0.6337141569295
1,sim,low_rate_discharge,3.0184548871079087,-0.7078975975917388,-0.7078975975917388
1,sim,low_rate_discharge,3.0250174806156034,-0.8049158768599227,-0.8049158768599227
1,sim,low_rate_discharge,3.0315800741232986,-0.8667024501853575,-0.8667024501853575
1,sim,low_rate_discharge,3.0381426676309937,-0.9547771432610261,-0.9547771432610261
1,sim,low_rate_discharge,3.044705261138689,-1.031470919574872,-1.031470919574872
1,sim,low_rate_discharge,3.051267854646384,-1.0775275070503199,-1.0775275070503199
1,sim,low_rate_discharge,3.0578304481540792,-1.109090252794374,-1.109090252794374
1,sim,low_rate_discharge,3.064393041661774,-1.1239198151557162,-1.1239198151557162
1,sim,low_rate_discharge,3.070955635169469,-1.1201428901491681,-1.1201428901491681
1,sim,low_rate_discharge,3.0775182286771643,-1.0939860223959386,-1.0939860223959386
1,sim,low_rate_discharge,3.084080822184859,-1.0382711480397688,-1.0382711480397688
1,sim,low_rate_discharge,3.090643415692554,-0.9851835196849379,-0.9851835196849379
1,sim,low_rate_discharge,3.0972060092002494,-0.9746928386311993,-0.9746928386311993
1,sim,low_rate_discharge,3.1037686027079445,-1.0166734677710565,-1.0166734677710565
1,sim,low_rate_discharge,3.1103311962156397,-1.1533158910788188,-1.1533158910788188
1,sim,low_rate_discharge,3.116893789723335,-1.2839929713702531,-1.2839929713702531
1,sim,low_rate_discharge,3.1234563832310296,-1.211666478584334,-1.211666478584334
1,sim,low_rate_discharge,3.1300189767387248,-1.0032816390125845,-1.0032816390125845
1,sim,low_rate_discharge,3.13658157024642,-0.9403995700250221,-0.9403995700250221
1,sim,low_rate_discharge,3.1431441637541147,-1.2698083856066091,-1.2698083856066091
1,sim,low_rate_discharge,3.14970675726181,-2.528346567980236,-2.528346567980236
1,sim,low_rate_discharge,3.156269350769505,-2.2447994658682546,-2.2447994658682546
1,sim,low_rate_discharge,3.1628319442772,-0.8885418665250882,-0.8885418665250882
1,sim,low_rate_discharge,3.1693945377848953,-0.8262219627750369,-0.8262219627750369
1,sim,low_rate_discharge,3.1759571312925905,-0.9454446852103047,-0.9454446852103047
1,sim,low_rate_discharge,3.182519724800285,-1.2083797774886307,-1.2083797774886307
1,sim,low_rate_discharge,3.1890823183079804,-1.4670073951491531,-1.4670073951491531
1,sim,low_rate_discharge,3.1956449118156756,-1.4824158832955163,-1.4824158832955163
1,sim,low_rate_discharge,3.2022075053233703,-1.417065775665435,-1.417065775665435
1,sim,low_rate_discharge,3.2087700988310655,-1.480521162791149,-1.480521162791149
1,sim,low_rate_discharge,3.2153326923387606,-1.606279364149998,-1.606279364149998
1,sim,low_rate_discharge,3.221895285846456,-1.6716010281760418,-1.6716010281760418
1,sim,low_rate_discharge,3.228457879354151,-1.6485687402500844,-1.6485687402500844
1,sim,low_rate_discharge,3.235020472861846,-1.5732979583458473,-1.5732979583458473
1,sim,low_rate_discharge,3.241583066369541,-1.51232757358531,-1.51232757358531
1,sim,low_rate_discharge,3.248145659877236,-1.4725569791594921,-1.4725569791594921
1,sim,low_rate_discharge,3.254708253384931,-1.3480101360541425,-1.3480101360541425
1,sim,low_rate_discharge,3.261270846892626,-1.1389978492242676,-1.1389978492242676
1,sim,low_rate_discharge,3.267833440400321,-0.9734588328277596,-0.9734588328277596
1,sim,low_rate_discharge,3.2743960339080163,-0.9277275546089641,-0.9277275546089641
1,sim,low_rate_discharge,3.2809586274157114,-1.155743494024307,-1.155743494024307
1,sim,low_rate_discharge,3.2875212209234066,-2.334543274091402,-2.334543274091402
1,sim,low_rate_discharge,3.2940838144311018,-2.282282063682942,-2.282282063682942
1,sim,low_rate_discharge,3.3006464079387965,-1.1447953931943857,-1.1447953931943857
1,sim,low_rate_discharge,3.3072090014464917,-1.052172661818588,-1.052172661818588
1,sim,low_rate_discharge,3.313771594954187,-1.3603920393153999,-1.3603920393153999
1,sim,low_rate_discharge,3.320334188461882,-2.313506025698473,-2.313506025698473
1,sim,low_rate_discharge,3.3268967819695767,-2.445765652851435,-2.445765652851435
1,sim,low_rate_discharge,3.333459375477272,-1.5546464432617313,-1.5546464432617313
1,sim,low_rate_discharge,3.340021968984967,-1.1936503556445928,-1.1936503556445928
1,sim,low_rate_discharge,3.3465845624926622,-1.5882560942830537,-1.5882560942830537
1,sim,low_rate_discharge,3.3531471560003574,-2.2504366881646547,-2.2504366881646547
1,sim,low_rate_discharge,3.359709749508052,-1.9751099601543274,-1.9751099601543274
1,sim,low_rate_discharge,3.3662723430157473,-1.463858546188078,-1.463858546188078
1,sim,low_rate_discharge,3.3728349365234425,-1.8658832775499832,-1.8658832775499832
1,sim,low_rate_discharge,3.3793975300311376,-2.2475634201080084,-2.2475634201080084
1,sim,low_rate_discharge,3.3859601235388324,-2.1659097790416126,-2.1659097790416126
1,sim,low_rate_discharge,3.3925227170465275,-2.3540240900074423,-2.3540240900074423
1,sim,low_rate_discharge,3.3990853105542227,-2.9038569522737703,-2.9038569522737703
1,sim,low_rate_discharge,3.405647904061918,-2.909609486986028,-2.909609486986028
1,sim,low_rate_discharge,3.412210497569613,-2.4201162294132814,-2.4201162294132814
1,sim,low_rate_discharge,3.418773091077308,-2.3754042595449505,-2.3754042595449505
1,sim,low_rate_discharge,3.425335684585003,-2.7071733529607513,-2.7071733529607513
1,sim,low_rate_discharge,3.431898278092698,-3.1725736115528775,-3.1725736115528775
1,sim,low_rate_discharge,3.4384608716003933,-4.1657920355320925,-4.1657920355320925
1,sim,low_rate_discharge,3.445023465108088,-5.6556345172916735,-5.6556345172916735
1,sim,low_rate_discharge,3.451586058615783,-7.142954385474695,-7.142954385474695
1,sim,low_rate_discharge,3.4581486521234783,-8.338283611586007,-8.338283611586007
1,sim,low_rate_discharge,3.4647112456311735,-8.590256242760745,-8.590256242760745
1,sim,low_rate_discharge,3.4712738391388687,-8.15635600932552,-8.15635600932552
1,sim,low_rate_discharge,3.477836432646564,-7.484431424435286,-7.484431424435286
1,sim,low_rate_discharge,3.4843990261542586,-5.787386892098823,-5.787386892098823
1,sim,low_rate_discharge,3.4909616196619537,-4.253011306771441,-4.253011306771441
1,sim,low_rate_discharge,3.497524213169649,-3.942473462166504,-3.942473462166504
1,sim,low_rate_discharge,3.5040868066773436,-3.819867521730316,-3.819867521730316
1,sim,low_rate_discharge,3.510649400185039,-3.9956937524889327,-3.9956937524889327
1,sim,low_rate_discharge,3.517211993692734,-4.258495665591454,-4.258495665591454
1,sim,low_rate_discharge,3.523774587200429,-4.341287215725458,-4.341287215725458
1,sim,low_rate_discharge,3.5303371807081243,-4.698839225415156,-4.698839225415156
1,sim,low_rate_discharge,3.5368997742158195,-4.639683203042921,-4.639683203042921
1,sim,low_rate_discharge,3.543462367723514,-4.232442422640418,-4.232442422640418
1,sim,low_rate_discharge,3.5500249612312094,-4.365282778132894,-4.365282778132894
1,sim,low_rate_discharge,3.5565875547389045,-4.950326232286216,-4.950326232286216
1,sim,low_rate_discharge,3.5631501482465993,-5.581269315950351,-5.581269315950351
1,sim,low_rate_discharge,3.5697127417542944,-5.867360031448754,-5.867360031448754
1,sim,low_rate_discharge,3.5762753352619896,-6.176585308722736,-6.176585308722736
1,sim,low_rate_discharge,3.5828379287696848,-6.229142982051769,-6.229142982051769
1,sim,low_rate_discharge,3.58940052227738,-5.885395189238466,-5.885395189238466
1,sim,low_rate_discharge,3.595963115785075,-5.687900403169692,-5.687900403169692
1,sim,low_rate_discharge,3.60252570929277,-5.814690177902946,-5.814690177902946
1,sim,low_rate_discharge,3.609088302800465,-6.189273099339573,-6.189273099339573
1,sim,low_rate_discharge,3.61565089630816,-6.23729651875891,-6.23729651875891
1,sim,low_rate_discharge,3.622213489815855,-6.205549380037866,-6.205549380037866
1,sim,low_rate_discharge,3.62877608332355,-6.694221812630701,-6.694221812630701
1,sim,low_rate_discharge,3.6353386768312452,-6.443832018954197,-6.443832018954197
1,sim,low_rate_discharge,3.6419012703389404,-6.406409081410715,-6.406409081410715
1,sim,low_rate_discharge,3.6484638638466356,-6.817365816941646,-6.817365816941646
1,sim,low_rate_discharge,3.6550264573543307,-6.580200835790748,-6.580200835790748
1,sim,low_rate_discharge,3.661589050862026,-6.662927347197865,-6.662927347197865
1,sim,low_rate_discharge,3.6681516443697206,-6.230595272036567,-6.230595272036567
1,sim,low_rate_discharge,3.674714237877416,-6.123303187512988,-6.123303187512988
1,sim,low_rate_discharge,3.6812768313851105,-6.406765645586404,-6.406765645586404
1,sim,low_rate_discharge,3.6878394248928057,-6.32603144810497,-6.32603144810497
1,sim,low_rate_discharge,3.694402018400501,-5.7419776740158,-5.7419776740158
1,sim,low_rate_discharge,3.700964611908196,-5.537849449322067,-5.537849449322067
1,sim,low_rate_discharge,3.707527205415891,-5.660939118712122,-5.660939118712122
1,sim,low_rate_discharge,3.7140897989235864,-5.7536875130607825,-5.7536875130607825
1,sim,low_rate_discharge,3.7206523924312815,-5.572476006260189,-5.572476006260189
1,sim,low_rate_discharge,3.7272149859389763,-5.159719911622091,-5.159719911622091
1,sim,low_rate_discharge,3.7337775794466714,-5.240132633528873,-5.240132633528873
1,sim,low_rate_discharge,3.740340172954366,-5.2240139221216,-5.2240139221216
1,sim,low_rate_discharge,3.7469027664620613,-5.378782379250026,-5.378782379250026
1,sim,low_rate_discharge,3.7534653599697565,-5.2281382277983255,-5.2281382277983255
1,sim,low_rate_discharge,3.7600279534774517,-5.322842314167559,-5.322842314167559
1,sim,low_rate_discharge,3.766590546985147,-5.523569185552418,-5.523569185552418
1,sim,low_rate_discharge,3.773153140492842,-5.460692975549875,-5.460692975549875
1,sim,low_rate_discharge,3.779715734000537,-5.668491364241646,-5.668491364241646
1,sim,low_rate_discharge,3.786278327508232,-5.866948576770852,-5.866948576770852
1,sim,low_rate_discharge,3.792840921015927,-6.130226656833344,-6.130226656833344
1,sim,low_rate_discharge,3.799403514523622,-6.117442006534191,-6.117442006534191
1,sim,low_rate_discharge,3.805966108031317,-6.266831838011797,-6.266831838011797
1,sim,low_rate_discharge,3.812528701539012,-6.3601169328613025,-6.3601169328613025
1,sim,low_rate_discharge,3.8190912950467073,-6.278202591923986,-6.278202591923986
1,sim,low_rate_discharge,3.8256538885544025,-6.403176680211317,-6.403176680211317
1,sim,low_rate_discharge,3.8322164820620976,-6.560654851608575,-6.560654851608575
1,sim,low_rate_discharge,3.838779075569793,-6.253491172410008,-6.253491172410008
1,sim,low_rate_discharge,3.8453416690774875,-5.856502747261487,-5.856502747261487
1,sim,low_rate_discharge,3.8519042625851827,-6.139620984599588,-6.139620984599588
1,sim,low_rate_discharge,3.8584668560928774,-4.74359885710831,-4.74359885710831
1,sim,low_rate_discharge,3.8650294496005726,-3.463701714940356,-3.463701714940356
1,sim,low_rate_discharge,3.8715920431082678,-3.1731144443524215,-3.1731144443524215
1,sim,low_rate_discharge,3.878154636615963,-3.524042723290762,-3.524042723290762
1,sim,low_rate_discharge,3.884717230123658,-4.152829592903572,-4.152829592903572
1,sim,low_rate_discharge,3.8912798236313533,-3.9993179288853753,-3.9993179288853753
1,sim,low_rate_discharge,3.8978424171390484,-4.242287888514383,-4.242287888514383
1,sim,low_rate_discharge,3.904405010646743,-4.588390232491577,-4.588390232491577
1,sim,low_rate_discharge,3.9109676041544383,-5.088197247653326,-5.088197247653326
1,sim,low_rate_discharge,3.9175301976621335,-4.861861225447953,-4.861861225447953
1,sim,low_rate_discharge,3.9240927911698282,-5.62593008045657,-5.62593008045657
1,sim,low_rate_discharge,3.9306553846775234,-6.007874147806888,-6.007874147806888
1,sim,low_rate_discharge,3.9372179781852186,-5.669263004127373,-5.669263004127373
1,sim,low_rate_discharge,3.9437805716929137,-5.821321089196246,-5.821321089196246
1,sim,low_rate_discharge,3.950343165200609,-5.435075900511336,-5.435075900511336
1,sim,low_rate_discharge,3.956905758708304,-5.539720245031646,-5.539720245031646
1,sim,low_rate_discharge,3.963468352215999,-5.311612818849412,-5.311612818849412
1,sim,low_rate_discharge,3.970030945723694,-5.499751704522126,-5.499751704522126
1,sim,low_rate_discharge,3.976593539231389,-5.427591916507367,-5.427591916507367
1,sim,low_rate_discharge,3.983156132739084,-5.274209511584559,-5.274209511584559
1,sim,low_rate_discharge,3.989718726246779,-5.260084102532957,-5.260084102532957
1,sim,low_rate_discharge,3.996281319754474,-5.282968346253867,-5.282968346253867
1,sim,low_rate_discharge,4.002843913262169,-5.454269791329338,-5.454269791329338
1,sim,low_rate_discharge,4.0094065067698645,-5.1889805700566,-5.1889805700566
1,sim,low_rate_discharge,4.01596910027756,-5.387071366149499,-5.387071366149499
1,sim,low_rate_discharge,4.022531693785254,-5.603966560327393,-5.603966560327393
1,sim,low_rate_discharge,4.029094287292949,-5.7953559960141945,-5.7953559960141945
1,sim,low_rate_discharge,4.035656880800644,-6.12879102073309,-6.12879102073309
1,sim,low_rate_discharge,4.0422194743083395,-6.601153530290539,-6.601153530290539
1,sim,low_rate_discharge,4.048782067816035,-7.147933036196669,-7.147933036196669
1,sim,low_rate_discharge,4.05534466132373,-8.43893162315726,-8.43893162315726
1,sim,low_rate_discharge,4.061907254831425,-11.32707820485276,-11.32707820485276
1,sim,low_rate_discharge,4.06846984833912,-17.933528533968712,-17.933528533968712
1,sim,low_rate_discharge,4.075032441846815,-20.229765894777454,-20.229765894777454
1,sim,low_rate_discharge,4.0815950353545105,-13.414796666242676,-13.414796666242676
1,sim,low_rate_discharge,4.088157628862206,-7.618190118850688,-7.618190118850688
1,sim,low_rate_discharge,4.094720222369901,-6.025495808578608,-6.025495808578608
1,sim,low_rate_discharge,4.101282815877595,-5.2849153241532445,-5.2849153241532445
1,sim,low_rate_discharge,4.10784540938529,-4.376111401183369,-4.376111401183369
1,sim,low_rate_discharge,4.1144080028929855,-3.98514620610149,-3.98514620610149
1,sim,low_rate_discharge,4.120970596400681,-3.8520750323808475,-3.8520750323808475
1,sim,low_rate_discharge,4.127533189908376,-3.3927041051938094,-3.3927041051938094
1,sim,low_rate_discharge,4.134095783416071,-3.0787555181435957,-3.0787555181435957
1,sim,low_rate_discharge,4.140658376923766,-3.1226709840917284,-3.1226709840917284
1,sim,low_rate_discharge,4.14722097043146,-3.063688675846751,-3.063688675846751
1,sim,low_rate_discharge,4.153783563939156,-2.943762470778824,-2.943762470778824
1,sim,low_rate_discharge,4.160346157446851,-2.77934871076981,-2.77934871076981
1,sim,low_rate_discharge,4.166908750954546,-2.105967408264204,-2.105967408264204
1,sim,low_rate_discharge,4.173471344462241,-1.5348654218980626,-1.5348654218980626
1,sim,low_rate_charge,2.6090894277287457,-0.11889581326024781,-0.11889581326024781
1,sim,low_rate_charge,2.6153282535023585,-0.11889581326024781,-0.11889581326024781
1,sim,low_rate_charge,2.6215670792759713,-0.11889581326024783,-0.11889581326024783
1,sim,low_rate_charge,2.627805905049584,-0.11889581326024781,-0.11889581326024781
1,sim,low_rate_charge,2.634044730823197,-0.11889581326024784,-0.11889581326024784
1,sim,low_rate_charge,2.6402835565968097,-0.11889581326024784,-0.11889581326024784
1,sim,low_rate_charge,2.6465223823704225,-0.11889581326024778,-0.11889581326024778
1,sim,low_rate_charge,2.6527612081440353,-0.11889581326024778,-0.11889581326024778
1,sim,low_rate_charge,2.659000033917648,-0.11889581326024773,-0.11889581326024773
1,sim,low_rate_charge,2.6652388596912604,-0.11889581326024795,-0.11889581326024795
1,sim,low_rate_charge,2.671477685464873,-0.11889581326024778,-0.11889581326024778
1,sim,low_rate_charge,2.677716511238486,-0.14935557003810107,-0.14935557003810107
1,sim,low_rate_charge,2.6839553370120988,-0.1891403041243217,-0.1891403041243217
1,sim,low_rate_charge,2.6901941627857116,-0.19846528143268893,-0.19846528143268893
1,sim,low_rate_charge,2.6964329885593243,-0.19846528143268893,-0.19846528143268893
1,sim,low_rate_charge,2.702671814332937,-0.19846528143268893,-0.19846528143268893
1,sim,low_rate_charge,2.70891064010655,-0.19846528143268882,-0.19846528143268882
1,sim,low_rate_charge,2.7151494658801627,-0.19843842726661665,-0.19843842726661665
1,sim,low_rate_charge,2.7213882916537755,-0.19767901507692476,-0.19767901507692476
1,sim,low_rate_charge,2.7276271174273883,-0.1969464570533055,-0.1969464570533055
1,sim,low_rate_charge,2.733865943201001,-0.19694645705330593,-0.19694645705330593
1,sim,low_rate_charge,2.740104768974614,-0.1969464570533057,-0.1969464570533057
1,sim,low_rate_charge,2.7463435947482266,-0.1969464570533057,-0.1969464570533057
1,sim,low_rate_charge,2.7525824205218394,-0.1969464570533055,-0.1969464570533055
1,sim,low_rate_charge,2.758821246295452,-0.19637787932570627,-0.19637787932570627
1,sim,low_rate_charge,2.7650600720690646,-0.19413237002298245,-0.19413237002298245
1,sim,low_rate_charge,2.7712988978426774,-0.19245543844785828,-0.19245543844785828
1,sim,low_rate_charge,2.77753772361629,-0.19245543844785873,-0.19245543844785873
1,sim,low_rate_charge,2.783776549389903,-0.19245543844785873,-0.19245543844785873
1,sim,low_rate_charge,2.7900153751635157,-0.19245543844785828,-0.19245543844785828
1,sim,low_rate_charge,2.7962542009371285,-0.19245543844785828,-0.19245543844785828
1,sim,low_rate_charge,2.8024930267107413,-0.1959740182497871,-0.1959740182497871
1,sim,low_rate_charge,2.808731852484354,-0.2072231321300091,-0.2072231321300091
1,sim,low_rate_charge,2.814970678257967,-0.2149536662083027,-0.2149536662083027
1,sim,low_rate_charge,2.8212095040315797,-0.21495366620830314,-0.21495366620830314
1,sim,low_rate_charge,2.8274483298051925,-0.21495366620830314,-0.21495366620830314
1,sim,low_rate_charge,2.8336871555788052,-0.2149536662083027,-0.2149536662083027
1,sim,low_rate_charge,2.839925981352418,-0.21845849445067866,-0.21845849445067866
1,sim,low_rate_charge,2.846164807126031,-0.2539359542347368,-0.2539359542347368
