Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Reward_Total,Reward_r_soh,Reward_r_time,Reward_delta_soh,Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
2.0,2.0,0.01,1,0.991253,76.17,1015.68,3396.24,0.834019,0.678896,0.989142,0.035144,19.15,43.6068,4.8224,2.8204,0.035144,0.004671,0.0
2.0,2.0,0.01,2,0.990156,7.11,1067.94,3431.47,0.7523,0.515657,0.988942,0.157169,17.66,53.2476,4.817,2.8207,0.128865,0.065537,0.056205
2.0,2.0,0.01,3,0.988902,7.04,1066.39,3430.87,0.73363,0.478294,0.988966,0.212052,17.66,62.8776,4.8109,2.821,0.241179,0.145455,0.131477
2.0,2.0,0.01,4,0.987662,6.97,1064.7,3429.81,0.729533,0.470069,0.988997,0.226135,17.67,72.495,4.8049,2.8213,0.352154,0.224465,0.205854
2.0,2.0,0.01,5,0.986436,6.9,1062.94,3428.89,0.725779,0.462531,0.989027,0.239743,17.68,82.1001,4.7989,2.8215,0.461842,0.302605,0.279374
2.0,2.0,0.01,6,0.985225,6.83,1060.86,3428.32,0.722321,0.455585,0.989056,0.252906,17.69,91.6939,4.793,2.8218,0.570294,0.379908,0.352071
2.0,2.0,0.01,7,0.984026,6.76,1058.9,3427.54,0.71912,0.449152,0.989087,0.265649,17.69,101.2761,4.7872,2.8221,0.677556,0.456407,0.423975
2.0,2.0,0.01,8,0.982841,6.7,1057.24,3426.83,0.71614,0.443168,0.989113,0.278,17.7,110.8461,4.7814,2.8224,0.783671,0.53213,0.495118
2.0,2.0,0.01,9,0.981668,6.63,1055.58,3425.8,0.713363,0.437583,0.989143,0.289974,17.71,120.4046,4.7757,2.8226,0.888679,0.607106,0.565524
2.0,2.0,0.01,10,0.980507,6.57,1053.8,3425.32,0.710758,0.432349,0.989167,0.3016,17.72,129.9521,4.7701,2.8229,0.992619,0.68136,0.635221
2.0,2.0,0.01,11,0.979357,6.51,1051.78,3424.91,0.708313,0.427431,0.989194,0.312889,17.72,139.4885,4.7645,2.8232,1.095525,0.754916,0.704232
2.0,2.0,0.01,12,0.978219,6.45,1050.04,3424.26,0.706009,0.422798,0.98922,0.32386,17.73,149.0136,4.7589,2.8234,1.197431,0.827797,0.772579
2.0,2.0,0.01,13,0.977091,6.39,1048.45,3423.58,0.703833,0.418421,0.989245,0.334531,17.74,158.5274,4.7535,2.8237,1.298368,0.900024,0.840285
2.0,2.0,0.01,14,0.975974,6.33,1046.85,3422.9,0.701774,0.414277,0.98927,0.344914,17.74,168.0308,4.748,2.824,1.398365,0.971618,0.907369
2.0,2.0,0.01,15,0.974868,6.27,1045.16,3422.35,0.69982,0.410346,0.989294,0.355024,17.75,177.5237,4.7426,2.8242,1.497451,1.042597,0.973849
2.0,2.0,0.01,16,0.973771,6.22,1043.26,3422.04,0.697963,0.406608,0.989318,0.364873,17.76,187.0056,4.7373,2.8245,1.595652,1.112979,1.039744
2.0,2.0,0.01,17,0.972684,6.16,1041.5,3421.64,0.696196,0.40305,0.989342,0.374472,17.77,196.4765,4.732,2.8247,1.692992,1.182782,1.10507
2.0,2.0,0.01,18,0.971606,6.1,1039.91,3421.13,0.69451,0.399655,0.989364,0.383834,17.77,205.937,4.7268,2.825,1.789496,1.252021,1.169844
2.0,2.0,0.01,19,0.970537,6.05,1038.34,3420.58,0.692899,0.396412,0.989387,0.392968,17.78,215.3873,4.7216,2.8252,1.885187,1.320712,1.23408
2.0,2.0,0.01,20,0.969477,5.99,1036.71,3420.24,0.691359,0.393309,0.989409,0.401884,17.79,224.827,4.7164,2.8255,1.980085,1.38887,1.297794
2.0,2.0,0.01,21,0.968426,5.94,1034.95,3420.0,0.689883,0.390336,0.98943,0.41059,17.89,234.2561,4.7113,2.8257,2.074212,1.456509,1.360999
2.0,2.0,0.01,22,0.967384,5.89,1033.09,3420.0,0.688467,0.387485,0.98945,0.419098,17.9,243.675,4.7062,2.826,2.167588,1.523641,1.423709
2.0,2.0,0.01,23,0.966349,5.84,1031.48,3419.72,0.687108,0.384747,0.98947,0.42741,17.91,253.0841,4.7012,2.8262,2.26023,1.59028,1.485935
2.0,2.0,0.01,24,0.965323,5.79,1029.95,3419.34,0.685802,0.382114,0.98949,0.435537,17.91,262.4829,4.6962,2.8265,2.352156,1.656438,1.547691
2.0,2.0,0.01,25,0.964304,5.74,1028.42,3419.07,0.684545,0.379581,0.98951,0.443488,17.92,271.8719,4.6913,2.8267,2.443385,1.722126,1.608987
2.0,2.0,0.01,26,0.963293,5.69,1026.84,3418.81,0.683335,0.37714,0.989529,0.451265,17.93,281.2511,4.6863,2.8269,2.533932,1.787355,1.669834
2.0,2.0,0.01,27,0.96229,5.64,1025.13,3418.8,0.682167,0.374787,0.989548,0.458879,17.93,290.6206,4.6815,2.8272,2.623812,1.852137,1.730244
2.0,2.0,0.01,28,0.961293,5.59,1023.39,3418.81,0.681041,0.372516,0.989566,0.466333,17.94,299.9802,4.6766,2.8274,2.713042,1.91648,1.790225
2.0,2.0,0.01,29,0.960304,5.55,1021.86,3418.66,0.679953,0.370322,0.989584,0.473634,17.95,309.3303,4.6718,2.8277,2.801635,1.980396,1.849789
2.0,2.0,0.01,30,0.959322,5.5,1020.38,3418.48,0.678901,0.368201,0.989602,0.480786,17.96,318.6709,4.667,2.8279,2.889605,2.043893,1.908944
2.0,2.0,0.01,31,0.958347,5.45,1018.9,3418.34,0.677884,0.366149,0.989619,0.487796,17.81,328.0021,4.6623,2.8281,2.976967,2.106981,1.967699
2.0,2.0,0.01,32,0.957378,5.41,1017.39,3418.25,0.676899,0.364162,0.989636,0.494668,17.81,337.3236,4.6576,2.8284,3.063732,2.169668,2.026063
2.0,2.0,0.01,33,0.956416,5.36,1015.79,3418.29,0.675945,0.362238,0.989652,0.501407,17.82,346.6357,4.6529,2.8286,3.149913,2.231962,2.084044
2.0,2.0,0.01,34,0.95546,5.32,1014.11,3418.25,0.675021,0.360373,0.98967,0.508013,17.83,355.9386,4.6482,2.8288,3.235522,2.293872,2.141649
2.0,2.0,0.01,35,0.95451,5.28,1012.58,3418.21,0.674125,0.358563,0.989686,0.514496,17.83,365.2324,4.6436,2.829,3.320571,2.355405,2.198888
2.0,2.0,0.01,36,0.953567,5.23,1011.15,3418.05,0.673255,0.356807,0.989703,0.520857,17.84,374.5169,4.639,2.8293,3.40507,2.416569,2.255767
2.0,2.0,0.01,37,0.952629,5.19,1009.73,3417.77,0.672411,0.355101,0.989721,0.5271,17.85,383.7919,4.6345,2.8295,3.489029,2.477371,2.312293
2.0,2.0,0.01,38,0.951697,5.15,1008.32,3417.55,0.671591,0.353444,0.989738,0.533229,17.85,393.0579,4.6299,2.8297,3.572461,2.537818,2.368472
2.0,2.0,0.01,39,0.950771,5.11,1006.87,3417.37,0.670794,0.351833,0.989755,0.539248,17.86,402.315,4.6254,2.83,3.655374,2.597917,2.424313
2.0,2.0,0.01,40,0.94985,5.07,1005.36,3417.24,0.670019,0.350266,0.989772,0.54516,17.87,411.5631,4.6209,2.8302,3.737777,2.657673,2.479821
2.0,2.0,0.01,41,0.948935,5.03,1003.81,3417.16,0.669265,0.348741,0.989789,0.550968,17.87,420.8017,4.6165,2.8304,3.819681,2.717094,2.535002
2.0,2.0,0.01,42,0.948025,4.98,1002.36,3416.96,0.668531,0.347256,0.989806,0.556675,17.88,430.0314,4.6121,2.8306,3.901095,2.776186,2.589863
2.0,2.0,0.01,43,0.947121,4.94,1000.99,3416.69,0.667816,0.34581,0.989823,0.562283,17.88,439.2526,4.6077,2.8308,3.982027,2.834954,2.644409
2.0,2.0,0.01,44,0.946222,4.9,999.64,3416.4,0.66712,0.3444,0.98984,0.567798,17.89,448.4654,4.6033,2.8311,4.062485,2.893404,2.698646
2.0,2.0,0.01,45,0.945328,4.86,998.28,3416.11,0.666441,0.343026,0.989857,0.573218,17.9,457.6693,4.5989,2.8313,4.142479,2.951541,2.752579
2.0,2.0,0.01,46,0.944439,4.82,996.89,3415.87,0.665779,0.341685,0.989873,0.57855,17.9,466.8642,4.5946,2.8315,4.222015,3.009372,2.806214
