Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Reward_Total,Reward_r_soh,Reward_r_time,Reward_delta_soh,Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
3.0,3.0,0.01,1,0.991181,1.7,614.74,3376.51,0.834445,0.675537,0.993354,0.036395,21.47,43.6071,4.822,2.8204,0.036395,0.004674,0.0
3.0,3.0,0.01,2,0.989644,0.14,601.05,3436.21,0.730021,0.466987,0.993054,0.231616,20.02,53.2459,4.8145,2.8208,0.168567,0.094434,0.085099
3.0,3.0,0.01,3,0.988017,0.14,598.39,3435.83,0.715322,0.437569,0.993075,0.290005,19.77,62.8711,4.8066,2.8211,0.314746,0.19901,0.185031
3.0,3.0,0.01,4,0.986416,0.13,597.24,3433.62,0.71005,0.427003,0.993098,0.31389,19.78,72.4805,4.7988,2.8215,0.458585,0.301976,0.283371
3.0,3.0,0.01,5,0.984839,0.13,596.14,3431.39,0.70531,0.417499,0.993121,0.336818,19.79,82.0736,4.7912,2.8219,0.600251,0.40345,0.380236
3.0,3.0,0.01,6,0.983285,0.12,594.88,3429.41,0.701006,0.408869,0.993143,0.358886,19.8,91.6512,4.7836,2.8222,0.739892,0.503537,0.47573
3.0,3.0,0.01,7,0.981751,0.12,591.83,3429.21,0.69707,0.400974,0.993165,0.380172,19.82,101.2147,4.7761,2.8226,0.877637,0.602326,0.569942
3.0,3.0,0.01,8,0.980238,0.11,590.46,3427.51,0.693442,0.393699,0.993186,0.400753,19.82,110.7623,4.7688,2.8229,1.013605,0.699901,0.662955
3.0,3.0,0.01,9,0.978744,0.11,589.28,3425.64,0.690082,0.386958,0.993207,0.420685,19.83,120.2948,4.7615,2.8232,1.147898,0.796333,0.754841
3.0,3.0,0.01,10,0.977267,0.1,587.95,3423.92,0.686954,0.380681,0.993227,0.440021,19.84,129.8142,4.7543,2.8236,1.28061,0.891687,0.845664
3.0,3.0,0.01,11,0.975807,0.1,585.0,3423.95,0.684028,0.374809,0.993247,0.458807,19.86,139.3182,4.7472,2.8239,1.411825,0.986022,0.935484
3.0,3.0,0.01,12,0.974362,0.09,583.63,3422.23,0.681281,0.369295,0.993267,0.477084,19.87,148.808,4.7402,2.8243,1.541619,1.079392,1.024352
3.0,3.0,0.01,13,0.972933,0.09,582.44,3420.75,0.678691,0.364097,0.993285,0.494894,19.88,158.2852,4.7332,2.8246,1.670063,1.171845,1.112319
3.0,3.0,0.01,14,0.971519,0.08,581.16,3419.35,0.676244,0.359185,0.993303,0.512258,20.02,167.7481,4.7264,2.8249,1.79722,1.263426,1.199428
3.0,3.0,0.01,15,0.970118,0.08,578.66,3419.06,0.673925,0.354528,0.993322,0.529215,20.04,177.1966,4.7195,2.8252,1.923149,1.354176,1.28572
3.0,3.0,0.01,16,0.96873,0.07,577.07,3417.91,0.67172,0.350101,0.99334,0.545786,20.05,186.632,4.7128,2.8256,2.047904,1.444132,1.371231
3.0,3.0,0.01,17,0.967355,0.07,575.81,3416.5,0.66962,0.345883,0.993358,0.561997,20.06,196.0533,4.7061,2.8259,2.171535,1.533329,1.455998
3.0,3.0,0.01,18,0.965992,0.06,574.51,3415.14,0.667615,0.341855,0.993375,0.577872,20.07,205.4609,4.6995,2.8262,2.294089,1.6218,1.540051
3.0,3.0,0.01,19,0.96464,0.06,572.87,3414.13,0.665697,0.338002,0.993393,0.593426,20.08,214.8563,4.6929,2.8265,2.415609,1.709574,1.623421
3.0,3.0,0.01,20,0.9633,0.05,570.51,3413.91,0.663858,0.334307,0.99341,0.608684,20.1,224.2378,4.6864,2.8268,2.536135,1.79668,1.706136
3.0,3.0,0.01,21,0.96197,0.05,569.28,3412.61,0.662093,0.33076,0.993426,0.623654,20.1,233.6063,4.6799,2.8271,2.655706,1.883143,1.788221
3.0,3.0,0.01,22,0.960651,0.04,568.12,3411.28,0.660395,0.327348,0.993442,0.638361,20.11,242.9624,4.6735,2.8274,2.774356,1.968988,1.869702
3.0,3.0,0.01,23,0.959341,0.04,566.91,3410.02,0.65876,0.324061,0.993459,0.652818,20.12,252.3058,4.6671,2.8278,2.89212,2.054239,1.950602
3.0,3.0,0.01,24,0.958041,0.04,565.36,3409.14,0.657182,0.32089,0.993474,0.667036,20.13,261.6364,4.6608,2.8281,3.009029,2.138918,2.030941
