Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
4.0,4.0,0.01,1,1.003018,0.0,431.3,2206.21,48.88,43.7272,4.8796,2.6823,0.029211,0.001341,0.0
4.0,4.0,0.01,2,1.002681,0.77,447.96,2171.86,50.32,53.4895,4.878,2.6824,0.056239,0.00268,0.0
4.0,4.0,0.01,3,1.002324,0.76,447.44,2172.22,50.32,63.2485,4.8762,2.6825,0.083066,0.004018,0.0
4.0,4.0,0.01,4,1.001931,0.76,446.93,2172.55,50.32,73.004,4.8743,2.6826,0.113449,0.009111,0.003758
4.0,4.0,0.01,5,1.001286,0.75,446.4,2172.78,50.32,82.7545,4.8712,2.6827,0.168766,0.039366,0.03268
4.0,4.0,0.01,6,1.000646,0.75,445.72,2172.63,50.32,92.4986,4.8681,2.6828,0.223691,0.069432,0.061415
4.0,4.0,0.01,7,1.00001,0.74,445.04,2172.56,50.32,102.2364,4.865,2.6829,0.278234,0.099315,0.089969
4.0,4.0,0.01,8,0.999378,0.73,444.38,2172.5,50.33,111.9681,4.8619,2.683,0.332404,0.129017,0.118345
4.0,4.0,0.01,9,0.998751,0.73,443.71,2172.44,50.33,121.6941,4.8588,2.6831,0.386207,0.158544,0.146547
4.0,4.0,0.01,10,0.998128,0.72,443.05,2172.33,50.33,131.4147,4.8558,2.6832,0.439653,0.187899,0.174579
4.0,4.0,0.01,11,0.997509,0.71,442.39,2172.26,50.34,141.1293,4.8528,2.6833,0.492749,0.217086,0.202446
4.0,4.0,0.01,12,0.996894,0.71,441.73,2172.17,50.34,150.8379,4.8498,2.6834,0.545502,0.246108,0.230149
4.0,4.0,0.01,13,0.996283,0.7,441.07,2172.22,50.34,160.5403,4.8468,2.6835,0.597919,0.27497,0.257694
4.0,4.0,0.01,14,0.995676,0.69,440.43,2172.13,50.34,170.2367,4.8439,2.6836,0.650007,0.303673,0.285083
4.0,4.0,0.01,15,0.995073,0.69,439.78,2171.97,50.35,179.9269,4.8409,2.6837,0.701772,0.332222,0.312318
4.0,4.0,0.01,16,0.994473,0.68,439.14,2171.93,50.35,189.611,4.838,2.6838,0.753222,0.360619,0.339405
4.0,4.0,0.01,17,0.993878,0.67,438.51,2171.93,50.35,199.289,4.8351,2.6839,0.804362,0.388868,0.366345
4.0,4.0,0.01,18,0.993286,0.67,437.87,2171.92,50.36,208.961,4.8322,2.684,0.855198,0.416972,0.393142
