Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Reward_Total,Reward_r_soh,Reward_r_time,Reward_delta_soh,Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
3.0,3.0,0.01,1,0.995902,1.37,646.53,2557.09,0.845782,0.694597,0.996967,0.029752,34.68,43.6078,4.845,2.7684,0.029752,0.0023,0.0
3.0,3.0,0.01,2,0.995509,1.36,645.34,2558.42,0.846201,0.695435,0.996966,0.029484,34.68,53.2994,4.8431,2.7685,0.059237,0.004596,0.0
3.0,3.0,0.01,3,0.995119,1.34,644.72,2559.28,0.846609,0.696253,0.996965,0.029225,34.68,62.9872,4.8412,2.7686,0.088462,0.00689,0.0
3.0,3.0,0.01,4,0.994684,1.33,644.18,2560.08,0.832467,0.667969,0.996965,0.039346,34.68,72.6702,4.839,2.7687,0.12232,0.014071,0.00489
3.0,3.0,0.01,5,0.99397,1.31,643.54,2560.86,0.782697,0.56843,0.996964,0.100582,34.69,82.3477,4.8356,2.7689,0.183788,0.049142,0.037677
3.0,3.0,0.01,6,0.993262,1.3,642.36,2561.68,0.780906,0.564846,0.996965,0.103778,34.69,92.019,4.8321,2.7691,0.244761,0.083965,0.07022
3.0,3.0,0.01,7,0.992559,1.28,641.21,2562.31,0.779195,0.561422,0.996967,0.10691,34.7,101.6831,4.8287,2.7692,0.305255,0.118547,0.102526
3.0,3.0,0.01,8,0.991862,1.26,640.37,2562.74,0.777557,0.558145,0.996968,0.109983,34.71,111.3399,4.8253,2.7694,0.365287,0.152899,0.134605
3.0,3.0,0.01,9,0.99117,1.25,639.54,2563.16,0.775986,0.555002,0.99697,0.113,34.71,120.9903,4.822,2.7695,0.424871,0.187027,0.166465
3.0,3.0,0.01,10,0.990483,1.23,638.65,2563.65,0.774477,0.551984,0.996971,0.115964,34.72,130.6345,4.8186,2.7697,0.484021,0.220939,0.198113
3.0,3.0,0.01,11,0.989801,1.21,637.42,2564.5,0.773027,0.549081,0.996972,0.118876,34.72,140.2717,4.8153,2.7699,0.542752,0.254643,0.229557
3.0,3.0,0.01,12,0.989124,1.2,636.34,2565.23,0.77163,0.546286,0.996973,0.121739,34.73,149.9021,4.812,2.77,0.601076,0.288145,0.260802
