Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Reward_Total,Reward_r_soh,Reward_r_time,Reward_delta_soh,Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
0.1,0.1,0.01,1,1.003508,7200.0,21600.0,1648.93,0.338067,0.676134,0.0,0.03617,39.71,43.7367,4.882,2.6823,0.03617,0.001355,0.0
0.1,0.1,0.01,2,1.003023,7200.0,21600.0,1669.87,0.338855,0.67771,0.0,0.035582,40.01,53.5079,4.8796,2.6824,0.071752,0.002706,0.0
0.1,0.1,0.01,3,1.002315,7200.0,21600.0,1668.59,0.293165,0.58633,0.0,0.085839,40.01,63.2732,4.8762,2.6826,0.130718,0.027821,0.023766
0.1,0.1,0.01,4,1.001383,7200.0,21600.0,1666.4,0.265183,0.530367,0.0,0.139189,40.01,73.0305,4.8716,2.6827,0.211846,0.075486,0.070086
0.1,0.1,0.01,5,1.00046,7200.0,21600.0,1663.33,0.262604,0.525207,0.0,0.145284,40.01,82.7787,4.8671,2.6829,0.292189,0.122726,0.115984
0.1,0.1,0.01,6,0.999545,7200.0,21600.0,1660.3,0.260182,0.520365,0.0,0.15121,40.01,92.518,4.8627,2.683,0.37177,0.169552,0.161473
0.1,0.1,0.01,7,0.99864,7200.0,21600.0,1657.27,0.257904,0.515807,0.0,0.156976,40.01,102.2483,4.8583,2.6832,0.45061,0.215976,0.206562
0.1,0.1,0.01,8,0.997743,7200.0,21600.0,1654.23,0.255753,0.511507,0.0,0.162589,40.01,111.9698,4.8539,2.6833,0.528727,0.262009,0.251263
0.1,0.1,0.01,9,0.996853,7200.0,21600.0,1651.16,0.25372,0.50744,0.0,0.168054,40.01,121.6826,4.8496,2.6835,0.606141,0.307661,0.295585
0.1,0.1,0.01,10,0.995972,7200.0,21600.0,1648.12,0.251793,0.503585,0.0,0.173379,40.01,131.3867,4.8453,2.6836,0.682871,0.352941,0.33954
0.1,0.1,0.01,11,0.995099,7200.0,21600.0,1645.06,0.249962,0.499925,0.0,0.178569,40.01,141.0823,4.8411,2.6838,0.758932,0.397859,0.383135
0.1,0.1,0.01,12,0.994233,7200.0,21600.0,1641.98,0.248221,0.496442,0.0,0.183629,40.01,150.7693,4.8369,2.6839,0.834343,0.442423,0.42638
0.1,0.1,0.01,13,0.993374,7200.0,21600.0,1638.95,0.246562,0.493124,0.0,0.188567,40.01,160.4479,4.8327,2.6841,0.909119,0.486644,0.469283
0.1,0.1,0.01,14,0.992523,7200.0,21600.0,1635.9,0.244978,0.489956,0.0,0.193385,40.01,170.1181,4.8285,2.6842,0.983276,0.530528,0.511853
