Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Reward_Total,Reward_r_soh,Reward_r_time,Reward_delta_soh,Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
1.0,1.0,0.01,1,1.003222,720.0,2160.0,1732.66,0.846356,0.704993,0.987719,0.026566,40.67,43.7264,4.8806,2.6823,0.026566,0.001344,0.0
1.0,1.0,0.01,2,1.002875,720.0,2160.0,1749.21,0.846712,0.705908,0.987517,0.026299,42.34,53.489,4.8789,2.6824,0.052866,0.002687,0.0
1.0,1.0,0.01,3,1.002527,720.0,2160.0,1748.3,0.847055,0.706583,0.987528,0.026104,42.34,63.2481,4.8772,2.6825,0.07897,0.004028,0.0
1.0,1.0,0.01,4,1.002182,720.0,2160.0,1747.45,0.847392,0.707246,0.987538,0.025913,42.34,73.0038,4.8755,2.6825,0.104883,0.005367,0.0
1.0,1.0,0.01,5,1.001651,720.0,2160.0,1746.6,0.801626,0.615702,0.987549,0.06559,42.34,82.7551,4.8729,2.6826,0.149144,0.025265,0.018561
1.0,1.0,0.01,6,1.00104,720.0,2160.0,1745.07,0.787173,0.586779,0.987567,0.085494,42.34,92.5009,4.87,2.6827,0.20145,0.053414,0.045375
1.0,1.0,0.01,7,1.000432,720.0,2160.0,1743.22,0.785778,0.583966,0.98759,0.087674,42.34,102.2407,4.867,2.6828,0.253383,0.081382,0.072011
1.0,1.0,0.01,8,0.999829,720.0,2160.0,1741.43,0.784439,0.581266,0.987612,0.089811,42.34,111.9746,4.8641,2.6829,0.30495,0.109173,0.098473
1.0,1.0,0.01,9,0.99923,720.0,2160.0,1739.65,0.783153,0.578673,0.987634,0.091905,42.36,121.7026,4.8612,2.683,0.356158,0.136792,0.124763
1.0,1.0,0.01,10,0.998635,720.0,2160.0,1737.85,0.781917,0.576179,0.987656,0.093957,42.36,131.4248,4.8583,2.6831,0.407015,0.16424,0.150886
1.0,1.0,0.01,11,0.998044,720.0,2160.0,1736.04,0.780728,0.573778,0.987678,0.095969,42.36,141.1412,4.8554,2.6833,0.457528,0.191522,0.176844
1.0,1.0,0.01,12,0.997457,720.0,2160.0,1734.25,0.779582,0.571464,0.9877,0.097943,42.36,150.8518,4.8525,2.6834,0.507703,0.218642,0.202641
1.0,1.0,0.01,13,0.996874,720.0,2160.0,1732.49,0.778476,0.569231,0.987721,0.099879,42.36,160.5567,4.8497,2.6835,0.557546,0.245601,0.228281
1.0,1.0,0.01,14,0.996295,720.0,2160.0,1730.65,0.77741,0.567077,0.987743,0.101778,42.36,170.2559,4.8469,2.6836,0.607065,0.272404,0.253765
