Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],py
0.05,33.0,0.934654,1.6,1.5,20.03,1440.0,2546.29,0.327426,0.274765,0.044655,0.998289,0.546218,17.63,341.4218,4.547,2.8322,4.605251,3.305835,3.164012,
0.01,34.0,0.939619,1.4,2.1,53.81,891.01,3409.8,0.231881,0.078946,0.001433,0.998647,0.616989,18.21,350.5702,4.5712,2.8324,4.682483,3.362011,3.215994,
0.05,35.0,0.933046,2.7,1.2,0.21,1800.0,2603.57,0.324931,0.312374,0.000877,0.998154,0.537574,16.31,359.6557,4.5392,2.8326,4.749346,3.410584,3.260466,
0.1,36.0,0.926182,1.2,0.1,256.69,21600.0,1963.62,0.400065,0.501437,0.0,0.997448,0.499726,10.41,368.6806,4.5058,2.8328,4.810995,3.455294,3.301263,
0.05,37.0,0.930413,1.1,3.5,389.34,18.49,2921.74,0.589972,0.0,0.975974,0.99791,1.501931,21.0,377.7474,4.5264,2.8332,4.986672,3.583964,3.425923,
0.02,38.0,0.933962,1.1,1.8,384.02,901.32,3043.32,0.235581,0.08798,0.001858,0.998232,0.61136,17.65,386.8399,4.5436,2.8334,5.058677,3.636404,3.474229,
0.1,39.0,0.92085,1.6,1.3,19.1,1661.54,2171.84,0.377688,0.267114,0.178747,0.996719,0.548063,17.35,395.8051,4.4799,2.8336,5.122732,3.683076,3.516933,
0.01,40.0,0.9329,0.2,2.8,3600.0,42.45,3760.35,0.199628,0.0,0.0,0.998142,1.481802,13.98,404.8944,4.5385,2.834,5.287857,3.804144,3.633975,
0.05,41.0,0.926277,3.7,1.8,0.0,1133.56,2569.14,0.436103,0.098292,0.493235,0.99746,0.60554,19.11,413.912,4.5063,2.8342,5.355962,3.853815,3.679593,
0.01,42.0,0.931411,1.2,1.2,237.81,1694.23,3297.15,0.249915,0.125784,0.0,0.998006,0.592322,15.59,422.9791,4.5312,2.8344,5.422045,3.902,3.723672,
0.01,43.0,0.930648,2.2,1.4,1.8,1542.86,3381.63,0.236469,0.092201,5e-06,0.997933,0.608907,16.15,432.0394,4.5275,2.8346,5.489246,3.951018,3.768588,
0.05,44.0,0.922023,2.9,3.6,0.02,29.95,2926.62,0.599143,0.0,0.99941,0.996895,2.411796,23.23,441.0136,4.4856,2.8353,5.739868,4.13536,3.949108,
0.05,45.0,0.919317,3.0,3.9,0.0,20.47,2929.86,0.599073,0.0,0.999445,0.996473,2.44628,23.72,449.9801,4.4724,2.8359,5.984943,4.31574,4.125685,
