Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%],py
0.1,17.0,0.953161,2.4,1.9,1.11,1112.48,2211.94,0.952736,0.905294,0.976902,0.999286,0.392501,19.87,194.7679,4.637,2.826,2.220371,1.570031,1.494392,
0.05,18.0,0.960076,1.3,2.3,204.78,734.45,2613.04,0.832225,0.766658,0.814161,0.999485,0.443355,19.99,204.1165,4.6707,2.8262,2.31417,1.637561,1.557569,
0.01,19.0,0.96515,3.5,0.5,0.0,4320.0,3520.9,0.573957,0.935095,0.0,0.999595,0.372965,12.45,213.5226,4.6954,2.8264,2.391893,1.693313,1.608923,
0.05,20.0,0.956987,0.8,3.3,900.0,19.38,2954.06,0.259898,1.3e-05,0.150031,0.999404,1.036518,18.69,222.8494,4.6557,2.827,2.59348,1.83967,1.751011,
0.05,21.0,0.953111,3.3,3.7,0.0,56.25,2922.19,0.599563,0.0,0.999265,0.999285,1.903697,23.98,232.1402,4.6368,2.8278,2.93516,2.08873,1.995914,
0.02,22.0,0.953696,1.8,3.9,11.24,19.53,3409.65,0.572099,0.0,0.930596,0.999304,2.046043,21.75,241.4364,4.6396,2.8287,3.272769,2.335036,2.238051,
0.01,23.0,0.951659,2.8,4.0,0.15,20.74,3763.79,0.319883,0.0,0.30009,0.999234,2.075775,20.75,250.711,4.6297,2.8295,3.590669,2.56714,2.465991,
0.02,24.0,0.94842,0.8,3.1,900.0,32.16,3392.72,0.200593,1e-06,0.001929,0.999107,1.163968,17.91,259.958,4.614,2.8299,3.761427,2.691519,2.586149,
0.05,25.0,0.9427,1.5,3.1,33.04,506.95,2587.57,0.598773,0.000772,0.996745,0.99883,0.84121,22.57,269.1388,4.5861,2.8302,3.882155,2.779343,2.669772,
0.02,26.0,0.946214,2.4,1.9,0.9,1078.58,3047.84,0.322147,0.292119,0.013745,0.999009,0.542148,18.34,278.3513,4.6032,2.8304,3.959718,2.835515,2.721692,
0.02,27.0,0.945467,2.2,0.9,2.13,2400.0,3116.94,0.410346,0.526379,0.0,0.998974,0.494971,14.53,287.5607,4.5996,2.8306,4.02987,2.88624,2.768192,
0.1,28.0,0.932255,3.7,2.2,0.0,878.21,2205.67,0.698288,0.248785,0.997895,0.998084,0.552624,21.62,296.6376,4.5353,2.8308,4.106607,2.941922,2.819785,
0.02,29.0,0.942375,2.4,3.4,0.88,430.36,3049.72,0.559517,0.0,0.899387,0.998812,1.427333,22.01,305.819,4.5846,2.8313,4.295084,3.079661,2.953378,
0.1,30.0,0.927315,2.7,3.9,0.22,21.76,2564.8,0.59951,0.0,0.999985,0.997581,2.220419,24.76,314.855,4.5113,2.8321,4.574044,3.284073,3.153877,
0.1,31.0,0.926237,3.7,1.9,0.0,1066.05,2191.24,0.683507,0.221849,0.988192,0.997455,0.559758,20.35,323.8722,4.5061,2.8323,4.644603,3.33535,3.201119,
0.05,32.0,0.933439,3.3,1.9,0.0,1064.69,2578.07,0.519724,0.1609,0.639316,0.998188,0.578645,19.49,332.9596,4.5411,2.8325,4.716652,3.387747,3.249392,
0.02,33.0,0.937129,1.5,0.8,29.48,2700.0,3082.02,0.342478,0.356957,0.0,0.998478,0.528028,14.08,342.0872,4.559,2.8326,4.782007,3.435185,3.292683,
0.1,34.0,0.923911,3.0,1.9,0.0,1062.07,2190.04,0.667078,0.180334,0.988781,0.99716,0.572099,20.38,351.082,4.4947,2.8328,4.851649,3.485875,3.339362,
0.02,35.0,0.935455,0.7,1.8,1028.57,726.96,3054.73,0.224216,0.061348,1.5e-05,0.998353,0.629899,16.42,360.189,4.5509,2.833,4.927262,3.540933,3.390277,
0.1,36.0,0.922462,2.0,1.2,4.42,1800.0,2207.66,0.342519,0.315563,0.042255,0.996959,0.536868,16.84,369.1712,4.4877,2.8332,4.991344,3.587565,3.432927,
0.01,37.0,0.933998,2.4,3.4,0.79,417.77,3403.94,0.290471,0.0,0.22706,0.998235,1.679735,21.1,378.2706,4.5438,2.8337,5.181485,3.726988,3.568308,
0.02,38.0,0.931639,4.0,2.7,0.0,634.14,3040.85,0.42624,0.004395,0.562191,0.998028,0.758232,20.81,387.342,4.5323,2.834,5.26722,3.789598,3.626797,
0.05,39.0,0.92461,3.3,3.5,0.0,72.9,2886.79,0.599207,0.0,0.999391,0.997252,2.267755,23.73,396.3509,4.4981,2.8346,5.510872,3.968642,3.801955,
0.02,40.0,0.927238,2.0,3.3,4.16,437.11,3041.88,0.558467,0.0,0.897382,0.997572,1.436494,21.87,405.383,4.5109,2.835,5.661867,4.079451,3.908745,
0.05,41.0,0.92218,3.9,1.8,0.0,1125.46,2565.41,0.434676,0.065434,0.522797,0.996918,0.626621,19.17,414.3604,4.4863,2.8352,5.728403,4.128063,3.953334,
0.02,42.0,0.925724,2.3,2.3,1.11,796.4,3041.19,0.285078,0.014125,0.199874,0.997393,0.702171,19.52,423.3736,4.5036,2.8354,5.801905,4.181838,4.003039,
0.05,43.0,0.920414,2.1,2.8,2.66,589.36,2572.86,0.597793,0.000876,0.99528,0.996651,0.835215,22.01,432.3366,4.4777,2.8356,5.887734,4.244765,4.061957,
0.02,44.0,0.924016,2.1,1.9,2.63,1037.42,3036.35,0.221563,0.032656,0.022665,0.997174,0.661359,18.4,441.3321,4.4953,2.8358,5.955659,4.294465,4.107607,
0.1,45.0,0.911347,0.7,0.9,1028.57,1931.44,1972.04,0.292342,0.233418,4e-06,0.994866,0.556624,14.76,450.2027,4.4336,2.836,6.012697,4.336181,4.145437,
0.05,46.0,0.916671,2.4,3.4,0.69,102.97,2854.4,0.598961,0.0,0.999401,0.996004,2.190097,23.36,459.1404,4.4595,2.8366,6.224586,4.49224,4.297673,
0.1,47.0,0.90767,2.3,3.1,1.05,488.28,2194.74,0.598765,3e-06,0.999961,0.993896,1.110438,24.37,467.9794,4.4157,2.8368,6.331092,4.570599,4.372178,
0.01,48.0,0.92054,3.0,2.2,0.0,839.46,3400.53,0.204269,0.00784,0.004497,0.99667,0.730509,18.72,476.9419,4.4783,2.837,6.401486,4.622227,4.419782,
0.01,49.0,0.920079,2.0,0.5,3.79,4320.0,3437.49,0.252027,0.131769,0.0,0.996597,0.589781,12.39,485.906,4.4761,2.8372,6.458432,4.663916,4.457477,
0.1,50.0,0.90683,1.2,0.2,204.56,10800.0,1995.21,0.355695,0.392411,0.0,0.993651,0.520819,10.92,494.7409,4.4116,2.8374,6.508594,4.700594,4.49038,
0.05,51.0,0.912075,0.6,2.7,1200.0,71.03,2886.8,0.203075,0.0,0.010168,0.995039,1.398838,17.69,503.6233,4.4372,2.8377,6.637093,4.79523,4.581165,
0.05,52.0,0.910904,0.7,2.6,1028.57,321.44,2657.47,0.216616,1e-06,0.044161,0.994758,1.156749,18.31,512.4934,4.4315,2.838,6.742268,4.87269,4.654755,
0.05,53.0,0.910703,3.8,0.3,0.0,7200.0,2593.01,0.286427,0.218713,0.0,0.994708,0.560628,11.4,521.3687,4.4305,2.8382,6.794226,4.910795,4.688987,
0.1,54.0,0.900112,3.7,4.0,0.0,17.29,2546.84,0.598255,0.0,0.999988,0.991297,2.524155,25.23,530.153,4.379,2.8387,7.014133,5.073262,4.847845,
0.1,55.0,0.899074,1.3,2.8,77.56,536.43,2187.68,0.598156,8.4e-05,0.999875,0.990862,0.946976,23.38,538.9074,4.3739,2.839,7.096852,5.134267,4.905058,
0.05,56.0,0.90635,3.5,1.1,0.0,1963.64,2554.09,0.219048,0.050587,0.000281,0.993506,0.639626,16.11,547.7317,4.4093,2.8391,7.153245,5.17575,4.942666,
0.01,57.0,0.91125,0.9,2.5,631.01,431.96,3434.52,0.199127,5.3e-05,0.000344,0.994842,0.968982,17.71,556.6042,4.4331,2.8394,7.236575,5.237187,5.000187,
0.05,58.0,0.904663,2.7,2.2,0.12,824.03,2566.44,0.583255,0.005007,0.956646,0.99297,0.752,20.42,565.4116,4.4011,2.8396,7.301267,5.284888,5.044016,
0.05,59.0,0.903924,1.9,2.3,5.17,767.06,2566.06,0.589302,0.003053,0.973842,0.992722,0.775648,20.89,574.2118,4.3975,2.8398,7.367397,5.333684,5.088948,
0.05,60.0,0.902957,1.6,2.9,15.5,528.85,2562.94,0.597417,1e-05,0.997341,0.992384,1.046986,22.45,583.0047,4.3928,2.84,7.454894,5.398341,5.149767,
0.01,61.0,0.907564,1.8,3.1,7.47,468.84,3391.89,0.261506,0.0,0.156833,0.993866,1.33332,20.67,591.8438,4.4152,2.8403,7.564371,5.479265,5.226837,
0.1,62.0,0.892733,2.7,3.1,0.11,471.7,2185.81,0.597529,0.0,0.99997,0.987706,1.290972,24.55,600.5381,4.3431,2.8406,7.669005,5.556727,5.300599,
0.1,63.0,0.890538,2.9,3.5,0.0,29.67,2532.21,0.597271,0.0,0.999989,0.986379,2.576086,25.18,609.2129,4.3324,2.8412,7.871512,5.706793,5.447154,
0.1,64.0,0.889598,1.1,2.4,294.87,572.08,2191.48,0.596774,0.000683,0.998367,0.985769,0.847061,21.4,617.8737,4.3278,2.8414,7.938907,5.756663,5.493307,
0.02,65.0,0.899695,2.5,3.8,0.34,20.07,3377.04,0.57971,0.0,0.953712,0.991125,2.641629,21.51,626.6454,4.3769,2.8419,8.140473,5.906086,5.63912,
0.05,66.0,0.894413,2.6,2.9,0.19,525.54,2556.92,0.596896,3e-06,0.99792,0.988634,1.105635,22.5,635.3545,4.3512,2.8422,8.2251,5.968796,5.698066,
0.1,67.0,0.885714,2.0,2.5,3.1,664.58,2171.98,0.596702,0.000464,0.999817,0.982948,0.865444,22.49,643.978,4.3089,2.8423,8.291294,6.017914,5.743493,
0.1,68.0,0.884113,2.0,3.3,3.08,394.61,2195.32,0.59632,0.0,0.999984,0.981631,2.10675,25.07,652.59,4.3011,2.8428,8.44684,6.133415,5.85547,
0.1,69.0,0.882034,2.4,3.5,0.5,27.53,2525.84,0.59595,0.0,0.999989,0.979771,2.619368,24.5,661.1811,4.291,2.8433,8.636118,6.274021,5.992639,
0.01,70.0,0.894888,2.7,2.7,0.08,585.58,3382.07,0.223513,1.6e-05,0.064324,0.988884,1.02701,19.74,669.8944,4.3535,2.8435,8.71107,6.329597,6.044425,
0.02,71.0,0.891972,2.1,3.2,1.88,422.06,3029.44,0.566148,0.0,0.92174,0.987261,1.780704,21.63,678.582,4.3394,2.8439,8.837638,6.423645,6.134803,
0.1,72.0,0.878585,3.6,3.1,0.0,452.24,2177.46,0.595245,0.0,0.999978,0.976271,1.478749,25.07,687.1383,4.2742,2.8442,8.941836,6.501176,6.208765,
0.05,73.0,0.884365,1.4,3.9,28.73,9.09,2912.15,0.596148,0.0,0.999447,0.981845,2.739679,22.97,695.7706,4.3024,2.8447,9.130033,6.641166,6.345291,
0.1,74.0,0.876145,2.0,1.0,2.79,2160.0,2134.94,0.204421,0.0218,0.002529,0.973446,0.681134,15.92,704.3004,4.2624,2.8448,9.178175,6.676961,6.377469,
0.05,75.0,0.882653,2.1,3.1,1.77,445.62,2556.72,0.595689,0.0,0.999051,0.980344,1.555221,23.12,712.8961,4.294,2.8451,9.284093,6.755822,6.452713,
0.1,76.0,0.874683,1.4,0.4,27.69,5400.0,2138.55,0.225642,0.078307,0.0,0.971598,0.617409,12.06,721.4169,4.2553,2.8453,9.327326,6.787965,6.481298,
0.02,77.0,0.885943,3.8,2.0,0.0,903.45,3021.01,0.235357,0.001014,0.095813,0.983129,0.828208,19.2,730.0417,4.31,2.8455,9.384319,6.830391,6.519993,
0.1,78.0,0.873909,3.9,0.3,0.0,7200.0,2162.17,0.225903,0.079472,0.0,0.97057,0.616645,11.39,738.5567,4.2515,2.8456,9.427088,6.862216,6.548287,
0.1,79.0,0.872242,0.3,3.3,2400.0,7.58,2569.09,0.193648,0.0,3e-06,0.968233,1.676693,15.67,747.0682,4.2434,2.8459,9.538298,6.945127,6.627735,
0.1,80.0,0.871378,2.3,2.1,0.68,838.14,2170.56,0.593498,0.001268,0.998999,0.966952,0.817557,21.16,755.5512,4.2392,2.8461,9.593378,6.986229,6.665251,
0.1,81.0,0.870866,3.7,1.4,0.0,1465.67,2135.28,0.487934,0.00756,0.729191,0.966168,0.732252,18.45,764.0278,4.2367,2.8462,9.642732,7.023068,6.698507,
0.02,82.0,0.88231,1.4,2.5,26.72,628.51,3016.35,0.424262,3.7e-05,0.570603,0.980028,0.985641,20.3,772.6179,4.2924,2.8464,9.708098,7.071808,6.743559,
0.1,83.0,0.869691,0.1,2.0,7200.0,492.56,2231.84,0.192875,3.5e-05,0.0,0.964305,0.989038,12.62,781.0849,4.231,2.8466,9.77314,7.120388,6.788614,
0.1,84.0,0.867423,3.2,3.6,0.0,22.89,2516.27,0.592081,0.0,0.999991,0.960423,2.691644,25.33,789.5413,4.2199,2.8471,9.944067,7.247982,6.912915,
0.05,85.0,0.874713,1.7,1.9,8.56,951.03,2548.84,0.543546,0.001387,0.871659,0.971638,0.813291,19.55,798.0565,4.2554,2.8473,9.997,7.287483,6.948783,
0.1,86.0,0.866274,2.7,2.2,0.04,775.54,2169.52,0.59166,0.000523,0.999474,0.958304,0.859776,21.61,806.4902,4.2143,2.8474,10.052409,7.32897,6.986725,
0.05,87.0,0.873453,3.0,2.2,0.0,774.62,2547.95,0.585159,0.000362,0.977562,0.969948,0.877335,20.95,814.9938,4.2493,2.8476,10.10873,7.371072,7.025209,
0.1,88.0,0.864362,3.9,3.1,0.0,431.25,2171.63,0.5909,0.0,0.999983,0.954536,1.694551,25.31,823.4112,4.205,2.8479,10.214303,7.450045,7.100765,
0.02,89.0,0.876327,1.9,0.9,3.79,2400.0,2967.94,0.197834,0.007752,0.0,0.973668,0.73105,14.66,831.9426,4.2633,2.848,10.261082,7.48496,7.132032,
0.1,90.0,0.862053,2.2,3.3,0.97,31.65,2506.28,0.589907,0.0,0.999991,0.949556,2.681523,24.65,840.3414,4.1938,2.8485,10.424101,7.606888,7.250715,
0.1,91.0,0.860821,1.5,3.1,16.91,417.21,2171.94,0.589331,0.0,0.999982,0.946689,1.818636,24.83,848.7247,4.1878,2.8488,10.534135,7.689224,7.329679,
0.01,92.0,0.874082,1.5,2.0,16.74,867.34,3392.55,0.195538,0.000323,0.003121,0.970804,0.882806,18.29,857.2343,4.2523,2.849,10.588553,7.729923,7.366743,
0.01,93.0,0.873325,1.2,2.5,81.79,588.05,3385.98,0.205037,7e-06,0.027702,0.969771,1.067259,19.3,865.7372,4.2486,2.8492,10.653445,7.778524,7.411736,
0.05,94.0,0.866419,0.2,3.2,3600.0,8.74,2940.36,0.191716,0.0,0.0,0.958578,1.722313,14.17,874.1927,4.2151,2.8495,10.755832,7.855192,7.484981,
0.05,95.0,0.865181,0.8,3.6,708.6,3.1,2904.86,0.470161,0.0,0.697309,0.956189,1.713724,19.23,882.6406,4.209,2.8498,10.856854,7.930866,7.557223,
0.1,96.0,0.855494,2.5,3.3,0.2,31.17,2500.16,0.586486,0.0,0.999992,0.932445,2.697156,24.62,890.9747,4.1619,2.8502,11.012641,8.047608,7.670774,
0.1,97.0,0.854629,2.4,3.0,0.34,449.63,2166.96,0.585957,0.0,0.99998,0.929822,1.580468,24.42,899.297,4.1577,2.8505,11.103967,8.116123,7.735927,
0.01,98.0,0.867551,2.5,2.7,0.19,549.97,3375.52,0.230037,0.0,0.094766,0.960651,1.210052,19.76,907.7451,4.2206,2.8507,11.174122,8.168725,7.78498,
0.05,99.0,0.85988,2.3,3.8,0.54,16.37,2887.59,0.588739,0.0,0.999649,0.944399,2.752702,22.94,916.1415,4.1832,2.8512,11.329,8.284877,7.897893,
0.05,100.0,0.859438,3.4,1.6,0.0,1182.72,2539.16,0.367367,0.001276,0.445497,0.943291,0.817286,18.79,924.5076,4.1811,2.8513,11.376292,8.320433,7.929929,
0.1,101.0,0.850941,2.1,2.5,1.32,615.84,2160.69,0.583475,1.2e-05,0.999901,0.917549,1.038382,22.71,932.7922,4.1398,2.8515,11.435351,8.364938,7.97102,
0.02,102.0,0.863025,0.1,0.6,7200.0,2853.86,2604.48,0.195678,0.01334,0.0,0.951712,0.704933,11.17,941.192,4.1985,2.8516,11.476192,8.395598,7.998156,
0.1,103.0,0.850011,3.4,1.1,0.0,1933.34,2082.5,0.201154,0.005043,0.040761,0.91416,0.751654,16.9,949.4654,4.1352,2.8518,11.519267,8.428098,8.027236,
0.1,104.0,0.848329,2.0,3.3,2.07,28.7,2501.06,0.581538,0.0,0.999992,0.907708,2.722852,24.58,957.7281,4.127,2.8522,11.668231,8.540009,8.136021,
0.05,105.0,0.855298,3.9,2.8,0.0,505.21,2534.51,0.58583,0.0,0.998645,0.931857,1.331376,23.01,966.0555,4.1609,2.8524,11.741696,8.595248,8.187835,
0.1,106.0,0.847773,2.7,0.3,0.0,7200.0,2105.16,0.196052,0.037389,0.0,0.905482,0.65468,11.38,974.3146,4.1243,2.8525,11.778757,8.623161,8.21242,
0.1,107.0,0.845454,1.5,4.0,14.97,7.04,2514.21,0.579129,0.0,0.999991,0.895665,2.795687,24.51,982.5864,4.1131,2.853,11.928512,8.735783,8.321952,
0.05,108.0,0.851964,2.0,3.1,1.96,400.76,2548.4,0.584004,0.0,0.999441,0.921137,2.105325,23.27,990.8827,4.1447,2.8533,12.04082,8.82022,8.403112,
0.1,109.0,0.843412,0.6,3.8,1200.0,0.0,2555.74,0.32292,0.0,0.364157,0.886288,1.594249,18.15,999.1258,4.1031,2.8536,12.12567,8.884151,8.463787,
0.05,110.0,0.850616,1.4,1.6,20.95,1144.46,2542.5,0.375699,0.000838,0.480221,0.916379,0.837338,18.59,1007.406,4.1382,2.8537,12.171159,8.918492,8.494675,
0.1,111.0,0.842416,2.4,0.5,0.28,4320.0,2095.97,0.184671,0.020949,0.0,0.881456,0.68307,12.75,1015.6103,4.0983,2.8538,12.208475,8.946704,8.519566,
0.1,112.0,0.840806,2.5,3.2,0.15,32.79,2497.46,0.57465,0.0,0.999992,0.873265,2.710363,24.55,1023.8003,4.0904,2.8543,12.349025,9.052581,8.622375,
0.05,113.0,0.84792,2.4,2.5,0.27,602.0,2534.96,0.579782,3e-06,0.996416,0.906072,1.102452,21.65,1032.0552,4.1251,2.8544,12.407185,9.096472,8.662861,
0.05,114.0,0.847339,2.3,2.3,0.44,684.65,2541.05,0.577281,2.4e-05,0.991325,0.903709,1.005979,21.14,1040.3047,4.1222,2.8546,12.460197,9.136566,8.699542,
0.05,115.0,0.845729,2.0,3.9,1.83,12.29,2882.94,0.579245,0.0,0.999674,0.896874,2.772831,22.87,1048.5744,4.1144,2.855,12.601331,9.242898,8.802759,
0.1,116.0,0.837463,3.7,1.6,0.0,1150.88,2162.37,0.563142,0.000984,0.979517,0.854706,0.829639,19.63,1056.7258,4.0742,2.8552,12.644772,9.275825,8.832353,
0.1,117.0,0.836008,3.3,3.9,0.0,13.08,2507.38,0.569187,0.0,0.999992,0.845951,2.746319,25.16,1064.9005,4.0671,2.8556,12.7826,9.379783,8.933288,
0.02,118.0,0.846648,2.8,3.3,0.0,27.28,3349.58,0.564965,0.0,0.962,0.900825,2.766103,21.87,1073.149,4.1189,2.856,12.920184,9.483451,9.033821,
0.05,119.0,0.841749,3.7,2.0,0.0,833.33,2549.61,0.559559,0.000125,0.959713,0.878118,0.928068,20.46,1081.3432,4.095,2.8561,12.967477,9.519306,9.066292,
0.1,120.0,0.833147,3.0,2.8,0.0,485.24,2156.63,0.565486,0.0,0.999975,0.82748,1.456241,24.96,1089.4557,4.0532,2.8564,13.039998,9.574252,9.118018,
0.1,121.0,0.8331,3.6,0.4,0.0,5400.0,2072.56,0.174841,0.023522,0.0,0.827163,0.67743,12.08,1097.5696,4.053,2.8565,13.074787,9.600613,9.141139,
0.01,122.0,0.844936,1.5,3.4,13.3,18.53,3730.53,0.318253,0.0,0.348956,0.893354,2.841193,20.31,1105.8074,4.1105,2.8569,13.213049,9.704971,9.242389,
0.1,123.0,0.830615,3.0,2.3,0.0,670.42,2162.43,0.56188,1.8e-05,0.999829,0.809705,1.019739,22.87,1113.8934,4.0409,2.857,13.263624,9.743414,9.277564,
0.05,124.0,0.83812,2.0,1.2,1.64,1666.27,2505.6,0.175737,0.001374,0.008706,0.858524,0.813755,16.87,1122.0516,4.0774,2.8572,13.304395,9.774366,9.305159,
0.1,125.0,0.829126,3.1,3.0,0.0,409.93,2170.6,0.559718,0.0,0.999986,0.798617,2.008593,25.2,1130.1246,4.0336,2.8575,13.401181,9.847677,9.375375,
0.05,126.0,0.835399,2.9,3.8,0.0,14.09,2879.98,0.568305,0.0,0.999684,0.842159,2.764474,23.56,1138.2918,4.0641,2.8579,13.532694,9.947045,9.471709,
0.02,127.0,0.839635,4.0,1.1,0.0,1857.46,2963.71,0.173835,0.001073,1.4e-05,0.867004,0.825554,15.98,1146.4644,4.0847,2.858,13.573319,9.977878,9.499165,
0.05,128.0,0.834086,0.8,3.7,613.04,1.23,2907.36,0.509209,0.0,0.856159,0.833726,1.829071,19.51,1154.6136,4.0578,2.8583,13.660108,10.043667,9.561774,
0.02,129.0,0.837975,1.9,2.2,2.49,708.17,3024.1,0.337132,1.4e-05,0.41397,0.857691,1.032179,19.69,1162.7715,4.0767,2.8584,13.70986,10.081467,9.596222,
0.02,130.0,0.83646,3.1,3.7,0.0,15.73,3357.04,0.55513,0.0,0.963468,0.848712,2.792694,21.83,1170.9466,4.0693,2.8588,13.839889,10.179856,9.691564,
0.02,131.0,0.835923,3.0,2.4,0.0,617.51,3017.08,0.432254,2e-06,0.657923,0.845423,1.138241,20.64,1179.0848,4.0667,2.859,13.893851,10.220866,9.729251,
0.05,132.0,0.830913,1.6,2.2,8.52,699.98,2545.7,0.557798,1.6e-05,0.988547,0.811865,1.024411,20.98,1187.1742,4.0423,2.8592,13.942393,10.25786,9.762953,
0.05,133.0,0.8301,0.7,3.1,821.78,8.7,2914.45,0.316993,0.0,0.389523,0.805919,1.748358,18.69,1195.2735,4.0384,2.8594,14.023415,10.319346,9.821284,
0.05,134.0,0.82915,1.7,2.8,5.69,464.95,2533.84,0.559378,0.0,0.999047,0.798797,1.610954,22.67,1203.3467,4.0337,2.8596,14.097842,10.375887,9.87464,
0.05,135.0,0.828748,2.1,1.8,0.9,942.06,2556.82,0.511623,0.000164,0.881032,0.795721,0.915042,19.54,1211.4142,4.0318,2.8598,14.140869,10.408706,9.904172,
0.1,136.0,0.819506,1.4,3.5,17.38,13.36,2506.51,0.543113,0.0,0.999991,0.715581,2.803323,24.4,1219.4188,3.9868,2.8602,14.267495,10.504759,9.997348,
0.02,1.0,0.989767,3.3,2.6,0.59,760.15,3034.78,0.711087,0.999942,0.277839,0.999874,0.035178,21.49,43.5932,4.8151,2.8204,0.035178,0.00465,0.0,
0.02,2.0,0.988682,0.9,2.0,800.0,703.91,3093.42,0.599669,0.999111,0.000127,0.999867,0.165494,17.02,53.2198,4.8099,2.8207,0.133255,0.068777,0.05949,
0.1,3.0,0.976482,2.7,0.2,0.4,10800.0,2339.64,0.599609,0.99914,0.0,0.999763,0.163908,10.9,62.7421,4.7505,2.8209,0.221222,0.131099,0.117388,
0.1,4.0,0.970167,2.7,3.8,0.4,48.17,2575.88,0.599929,2e-06,0.999979,0.999681,1.115703,25.08,72.2127,4.7198,2.8221,0.699552,0.477506,0.459374,
0.05,5.0,0.97681,3.0,2.5,0.06,778.04,2615.91,0.976817,0.986955,0.955204,0.999767,0.29399,20.76,81.7252,4.7521,2.8223,0.809356,0.555939,0.533292,
0.1,6.0,0.965939,0.4,3.9,1800.0,6.18,2622.4,0.200556,0.0009,0.000685,0.99961,0.833903,16.98,91.1661,4.6992,2.823,1.086457,0.756354,0.729331,
0.1,7.0,0.964694,0.8,2.2,900.0,581.22,2259.75,0.745002,0.963735,0.398978,0.999586,0.343811,18.5,100.5601,4.6932,2.8233,1.193536,0.833046,0.801651,
0.1,8.0,0.960617,1.4,3.9,123.14,16.97,2583.75,0.599877,0.0,0.999942,0.999498,1.368101,23.83,109.9386,4.6733,2.8242,1.569677,1.106044,1.070333,
0.1,9.0,0.959499,2.9,1.9,0.11,1124.65,2214.65,0.975126,0.964526,0.973553,0.999471,0.342723,19.8,119.2806,4.6679,2.8245,1.658823,1.169859,1.129818,
0.05,10.0,0.966257,1.5,2.6,45.45,695.32,2607.95,0.93191,0.858917,0.97105,0.999616,0.413985,21.16,128.6903,4.7008,2.8247,1.762423,1.244269,1.199806,
0.1,11.0,0.957877,3.0,0.6,0.04,3600.0,2344.72,0.591613,0.979318,0.0,0.999429,0.316305,13.36,138.0249,4.66,2.8249,1.840068,1.299771,1.251038,
0.05,12.0,0.961177,3.7,3.9,0.0,26.7,2953.65,0.599603,0.0,0.999251,0.999512,1.698581,23.74,147.3968,4.676,2.8259,2.213324,1.571201,1.518165,
0.02,13.0,0.964501,2.0,2.5,5.77,752.31,3061.24,0.570214,0.693051,0.232693,0.999583,0.461218,19.76,156.7886,4.6922,2.8261,2.310467,1.641052,1.583593,
0.05,14.0,0.959264,3.9,1.9,0.0,1110.68,2594.04,0.737554,0.855946,0.488207,0.999465,0.415142,19.25,166.1285,4.6667,2.8263,2.396053,1.702539,1.640724,
0.05,15.0,0.95823,1.1,2.2,457.14,668.57,2616.06,0.64017,0.703641,0.397064,0.999438,0.458824,19.02,175.4589,4.6617,2.8266,2.48806,1.768771,1.702609,
0.05,16.0,0.954345,3.0,3.9,0.03,25.21,2948.85,0.599584,0.0,0.999297,0.999325,1.866496,23.2,184.7618,4.6428,2.8275,2.830766,2.018452,1.948068,
0.1,17.0,0.945559,3.0,2.5,0.02,748.21,2216.18,0.804159,0.511548,0.999362,0.998978,0.4978,22.24,193.9692,4.6001,2.8277,2.919805,2.0827,2.008098,
0.1,18.0,0.944547,1.1,2.1,442.1,718.26,2223.32,0.823557,0.600001,0.959427,0.998928,0.480692,19.6,203.1657,4.5951,2.8279,3.004154,2.143581,2.06478,
0.02,19.0,0.954038,4.0,3.5,0.0,417.21,3060.25,0.560868,0.0,0.902511,0.999315,1.477924,22.22,212.4631,4.6413,2.8285,3.247054,2.320545,2.237486,
0.02,20.0,0.9506,2.6,3.8,0.42,26.53,3400.43,0.575262,0.0,0.938559,0.999195,2.028954,21.76,221.7247,4.6246,2.8293,3.559003,2.548251,2.461005,
0.1,21.0,0.93715,3.1,3.2,0.0,495.56,2212.6,0.599865,0.000471,0.999951,0.99848,0.864792,25.14,230.8515,4.5592,2.8297,3.687707,2.641852,2.550461,
0.02,22.0,0.945891,2.0,3.8,5.0,23.24,3397.6,0.575575,0.0,0.93944,0.998994,2.122182,21.73,240.0648,4.6017,2.8304,3.985541,2.85956,2.764025,
0.05,23.0,0.940804,1.6,1.9,20.96,1059.86,2581.03,0.562105,0.31169,0.594213,0.998721,0.537725,19.1,249.2242,4.5769,2.8306,4.060809,2.91403,2.814297,
0.1,24.0,0.929987,2.4,3.8,0.88,24.82,2562.85,0.599568,0.0,0.999985,0.997868,2.145175,24.79,258.2799,4.5243,2.8314,4.341278,3.119351,3.015631,
0.1,25.0,0.926945,1.7,3.7,14.08,21.52,2561.67,0.599501,0.0,0.999984,0.997538,2.21427,24.74,267.3047,4.5095,2.8321,4.616374,3.320876,3.213194,
0.1,26.0,0.926479,3.7,0.6,0.0,3600.0,2287.69,0.418203,0.546766,0.0,0.997484,0.491066,13.42,276.3309,4.5072,2.8322,4.678093,3.365572,3.253883,
0.05,27.0,0.933131,2.3,2.2,1.26,865.66,2582.45,0.605522,0.090141,0.924582,0.998162,0.610091,20.2,285.4159,4.5396,2.8324,4.753237,3.420192,3.304365,
