Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%]
0.1,1.0,0.977867,3.4,3.9,0.42,380.62,2198.87,0.999925,0.999937,0.999986,0.999778,0.039463,27.97,43.4778,4.7572,2.8204,0.039463,0.004504,0.0
0.01,2.0,0.989207,3.4,3.2,0.0,540.97,3436.75,0.616897,0.983736,0.058571,0.99987,0.304648,20.45,53.1153,4.8124,2.8209,0.207145,0.122625,0.113462
0.1,3.0,0.974462,2.4,1.8,1.38,1200.0,2253.84,0.967304,0.997994,0.920395,0.999739,0.204297,19.22,62.6051,4.7407,2.8211,0.30988,0.195716,0.182099
0.05,4.0,0.981367,2.2,1.1,3.18,1963.64,2727.0,0.599117,0.997838,4.8e-05,0.999812,0.207885,15.74,72.1657,4.7743,2.8214,0.408034,0.265493,0.247337
0.05,5.0,0.978999,0.6,2.8,1200.0,363.98,2692.91,0.421965,0.551218,0.0038,0.99979,0.49021,18.06,81.7043,4.7627,2.8219,0.614512,0.414122,0.391443
0.05,6.0,0.977863,2.7,2.0,0.38,1064.87,2613.4,0.818617,0.993487,0.553167,0.999778,0.2606,19.2,91.2258,4.7572,2.8222,0.717096,0.487276,0.460082
0.05,7.0,0.976871,3.6,1.1,0.0,1963.64,2720.97,0.597896,0.994803,5.3e-05,0.999767,0.249789,15.88,100.7423,4.7524,2.8224,0.810895,0.55408,0.522391
0.02,8.0,0.979604,3.5,2.9,0.0,622.04,3073.06,0.7827,0.944616,0.512236,0.999796,0.364929,20.98,110.2837,4.7657,2.8227,0.939219,0.64607,0.609833
0.05,9.0,0.973784,1.8,3.0,13.44,581.76,2608.39,0.950449,0.883192,0.993064,0.999731,0.403666,22.13,119.7677,4.7374,2.8231,1.072511,0.741785,0.70107
0.02,10.0,0.977265,0.8,1.2,900.0,1467.89,2947.37,0.595314,0.9884,0.0,0.999772,0.288331,15.06,129.2821,4.7543,2.8233,1.164366,0.807328,0.762094
0.01,11.0,0.977587,3.0,1.6,0.05,1350.0,3460.01,0.591777,0.97954,1.5e-05,0.999775,0.31578,16.58,138.8021,4.7559,2.8236,1.260894,0.876298,0.826533
0.01,12.0,0.975838,1.2,3.0,355.57,428.54,3454.34,0.368251,0.416182,0.004566,0.999756,0.516117,19.22,148.3076,4.7474,2.8239,1.408884,0.982847,0.928575
0.1,13.0,0.957971,1.5,3.6,48.74,64.59,2546.31,0.599874,0.0,0.99997,0.999432,1.544046,24.78,157.638,4.6604,2.8249,1.801396,1.268029,1.209527
0.01,14.0,0.968941,0.5,3.2,1440.0,24.9,3790.16,0.199937,1.2e-05,0.0,0.999662,1.03956,16.22,167.0825,4.7138,2.8255,2.039982,1.44099,1.37808
0.02,15.0,0.966431,1.8,2.2,12.16,901.19,3066.14,0.561905,0.847348,0.057605,0.999619,0.418383,18.89,176.4925,4.7016,2.8257,2.133382,1.508058,1.440718
0.01,16.0,0.966662,3.1,2.7,0.0,676.41,3417.91,0.428833,0.553253,0.019017,0.999623,0.489818,19.61,185.9065,4.7027,2.826,2.239007,1.584127,1.512351
0.02,17.0,0.964755,0.8,0.4,900.0,5400.0,2369.74,0.590333,0.976039,0.0,0.999588,0.323472,11.98,195.2985,4.6934,2.8262,2.308298,1.633676,1.557506
0.01,18.0,0.96507,2.6,1.2,0.47,1800.0,3490.69,0.554166,0.885618,0.0,0.999594,0.402536,15.34,204.6977,4.695,2.8264,2.391944,1.693695,1.613112
0.05,19.0,0.959393,0.9,0.1,771.1,21600.0,1847.41,0.570724,0.927075,0.0,0.999468,0.378924,10.45,214.042,4.6674,2.8266,2.469186,1.749046,1.664156
0.1,20.0,0.9501,1.3,0.6,197.44,3600.0,2154.56,0.584584,0.961872,0.0,0.999175,0.346289,13.5,223.2962,4.6221,2.8268,2.538654,1.798798,1.709714
0.1,21.0,0.948665,3.1,1.6,0.0,1350.0,2222.42,0.85954,0.867553,0.781738,0.999118,0.4105,18.73,232.5332,4.6152,2.827,2.618765,1.856459,1.763164
0.1,22.0,0.947773,1.2,1.4,317.99,1386.45,2145.4,0.622486,0.874002,0.182673,0.999079,0.407771,17.66,241.7597,4.6108,2.8272,2.696792,1.91264,1.815147
0.05,23.0,0.954342,3.0,3.1,0.02,538.45,2593.95,0.606491,0.019982,0.996584,0.999325,0.685368,22.6,251.0552,4.6428,2.8276,2.822439,2.003691,1.901912
