Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%]
0.1,1.0,0.977709,1.6,3.2,243.16,422.67,2223.33,0.99981,0.999938,0.999699,0.999776,0.038617,24.77,43.4756,4.7565,2.8204,0.038617,0.004497,0.0
0.1,2.0,0.976423,0.9,1.6,800.0,996.89,2201.04,0.618961,0.999151,0.048369,0.999762,0.163316,17.37,52.982,4.7502,2.8207,0.13361,0.069236,0.060271
0.01,3.0,0.988928,0.4,1.6,1800.0,991.94,3393.38,0.599024,0.997625,0.0,0.999868,0.212371,14.46,62.6111,4.811,2.821,0.245665,0.148991,0.135381
0.05,4.0,0.982184,0.5,0.9,1440.0,2174.08,2349.1,0.599416,0.998631,0.0,0.999819,0.186077,13.69,72.173,4.7782,2.8212,0.337869,0.214369,0.196217
0.01,5.0,0.986715,2.5,1.4,0.9,1542.86,3505.52,0.598747,0.996939,1e-06,0.999854,0.224482,15.98,81.7837,4.8003,2.8215,0.441895,0.288374,0.265601
0.1,6.0,0.974085,0.1,0.1,7200.0,21600.0,1596.58,0.599231,0.998211,0.0,0.999735,0.198851,10.12,91.2722,4.7388,2.8217,0.529387,0.350402,0.323219
0.1,7.0,0.970519,2.4,3.0,1.34,594.06,2235.62,0.987375,0.968763,0.999832,0.999686,0.336457,23.27,100.7258,4.7215,2.8221,0.665983,0.448294,0.416684
0.1,8.0,0.969048,0.3,2.3,2400.0,537.64,2272.31,0.583129,0.957991,0.0,0.999663,0.351097,15.74,110.1632,4.7143,2.8224,0.798607,0.543431,0.507427
0.02,9.0,0.980007,0.9,2.1,800.0,635.95,3097.64,0.592551,0.981239,0.00024,0.999799,0.311571,17.25,119.7064,4.7676,2.8227,0.910058,0.623139,0.58259
0.01,10.0,0.980611,3.1,0.5,0.01,4320.0,3546.38,0.597421,0.99365,0.0,0.999805,0.259384,12.42,129.2643,4.7706,2.8229,0.999355,0.686739,0.641641
0.01,11.0,0.979684,1.8,0.4,13.4,5400.0,3519.23,0.597327,0.993419,0.0,0.999796,0.261096,11.92,138.814,4.7661,2.8231,1.085885,0.748348,0.698713
