Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%]
0.02,1.0,0.987449,0.1,3.8,7200.0,11.04,3463.11,0.522531,0.806399,0.0,0.999859,0.432058,13.58,43.6008,4.8039,2.8209,0.246963,0.153078,0.148437
0.1,2.0,0.974052,0.6,1.6,1200.0,990.38,2197.88,0.599437,0.997702,0.001024,0.999734,0.210792,16.37,53.0849,4.7387,2.8212,0.349776,0.226217,0.217128
0.02,3.0,0.984714,3.2,2.9,0.0,628.37,3076.36,0.789731,0.986221,0.488187,0.999839,0.296633,20.93,62.6763,4.7905,2.8215,0.482997,0.32151,0.307813
0.01,4.0,0.985209,2.7,1.2,0.39,1800.0,3528.5,0.598396,0.996069,0.0,0.999843,0.236436,15.35,72.2738,4.793,2.8218,0.583128,0.39275,0.374443
0.1,5.0,0.969788,0.6,2.6,1200.0,429.2,2292.32,0.598882,0.898969,0.098399,0.999675,0.395913,18.32,81.7198,4.7179,2.8222,0.737062,0.50329,0.480564
0.02,6.0,0.980627,4.0,2.6,0.0,734.82,3075.27,0.691874,0.980211,0.249572,0.999805,0.314161,20.22,91.2704,4.7707,2.8225,0.852067,0.585545,0.558255
0.1,7.0,0.965389,0.3,4.0,2400.0,4.85,2625.48,0.200093,0.00043,2e-06,0.9996,0.869127,15.99,100.6993,4.6965,2.8232,1.135157,0.790359,0.758709
0.01,8.0,0.974254,3.9,4.0,0.0,25.06,3785.13,0.299701,0.0,0.249384,0.999737,1.509947,21.03,110.2025,4.7397,2.8242,1.556138,1.095885,1.059774
0.01,9.0,0.973127,3.1,2.6,0.0,723.46,3422.26,0.550853,0.865809,0.011462,0.999722,0.411219,19.48,119.6794,4.7342,2.8245,1.662762,1.172347,1.131729
0.02,10.0,0.967362,3.1,3.9,0.0,27.04,3417.22,0.571153,0.0,0.928064,0.999635,1.655093,22.24,129.1119,4.7061,2.8254,2.046684,1.45135,1.406347
0.05,11.0,0.960345,2.7,3.5,0.31,427.44,2607.04,0.599383,1e-06,0.99871,0.999492,1.15339,23.35,138.4706,4.672,2.826,2.290248,1.628112,1.578763
0.05,12.0,0.958835,2.4,3.2,1.09,511.65,2594.71,0.606612,0.019465,0.997337,0.999454,0.686641,22.78,147.8096,4.6646,2.8264,2.428948,1.728409,1.674701
0.02,13.0,0.962901,1.6,0.1,24.53,21600.0,3024.52,0.571134,0.92806,0.0,0.99955,0.378226,10.37,157.1974,4.6844,2.8266,2.504825,1.782794,1.724711
0.1,14.0,0.949067,2.9,2.9,0.09,601.67,2218.18,0.708317,0.271376,0.999849,0.999134,0.547031,23.34,166.4397,4.6171,2.8269,2.610346,1.858931,1.796593
0.01,15.0,0.962122,3.0,0.3,0.02,7200.0,3481.37,0.566051,0.91536,0.0,0.999533,0.386623,11.36,175.8187,4.6806,2.8271,2.684374,1.912056,1.845338
0.02,16.0,0.959374,0.8,2.1,900.0,600.08,3088.88,0.389439,0.473725,0.000138,0.999468,0.505009,16.99,185.1601,4.6673,2.8273,2.778062,1.979536,1.908449
0.02,17.0,0.958601,1.3,0.8,185.94,2700.0,2985.05,0.552632,0.881856,0.0,0.999448,0.40428,14.14,194.4953,4.6635,2.8275,2.852258,2.032813,1.957377
0.02,18.0,0.957926,1.2,0.5,310.18,4320.0,2854.11,0.569713,0.924567,0.0,0.99943,0.380663,12.67,203.8249,4.6602,2.8277,2.921171,2.082251,2.002481
0.05,19.0,0.95246,3.2,2.2,0.0,896.55,2598.73,0.789012,0.587235,0.885665,0.999262,0.483212,20.3,213.0987,4.6336,2.8279,3.006121,2.143498,2.059432
0.1,20.0,0.943582,3.5,2.5,0.0,745.69,2215.59,0.769237,0.424272,0.999381,0.998878,0.514536,22.73,222.2867,4.5904,2.8282,3.094458,2.207354,2.119092
0.1,21.0,0.940356,3.1,3.6,0.0,63.62,2538.85,0.599732,0.0,0.999983,0.998693,1.916019,25.41,231.4592,4.5747,2.829,3.399919,2.430347,2.338018
0.05,22.0,0.945653,1.2,3.6,294.76,19.54,2930.9,0.595606,0.0,0.989523,0.998983,1.45619,21.67,240.6845,4.6005,2.8295,3.619908,2.59077,2.494269
