Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%]
0.05,1.0,0.985764,2.6,0.4,6.98,5400.0,2737.41,0.599948,0.999946,0.0,0.999847,0.032099,13.24,43.5651,4.7957,2.8204,0.032099,0.004569,0.0
0.05,2.0,0.984725,3.5,1.1,0.0,1963.64,2737.21,0.599853,0.999667,4.5e-05,0.99984,0.118645,15.88,53.1576,4.7906,2.8206,0.106388,0.049234,0.040091
0.05,3.0,0.983281,1.4,2.4,148.66,744.89,2627.29,0.941698,0.997207,0.857123,0.999828,0.220099,20.31,62.7332,4.7836,2.8209,0.224384,0.133329,0.119619
0.1,4.0,0.974184,2.0,2.4,6.98,826.03,2242.65,0.997862,0.996728,0.998061,0.999736,0.22767,21.45,72.2196,4.7393,2.8212,0.337069,0.213704,0.195535
0.02,5.0,0.985356,2.3,1.1,2.09,1963.64,3189.58,0.598947,0.997444,0.0,0.999844,0.215874,15.28,81.8192,4.7937,2.8215,0.437386,0.285048,0.262283
0.02,6.0,0.982594,0.9,3.0,800.0,104.87,3345.18,0.261689,0.150243,0.004068,0.999823,0.582509,18.42,91.3928,4.7802,2.8221,0.676258,0.45724,0.42991
0.02,7.0,0.978666,2.7,3.6,0.38,422.23,3084.68,0.549144,3.3e-05,0.872933,0.999786,0.991388,22.19,100.9372,4.7611,2.8229,1.022057,0.707504,0.675663
0.02,8.0,0.977603,1.2,2.2,361.94,724.95,3082.73,0.593276,0.974256,0.009047,0.999775,0.326977,18.27,110.4566,4.756,2.8232,1.127359,0.782793,0.74642
0.1,9.0,0.964176,2.7,2.8,0.36,653.2,2232.79,0.97399,0.93548,0.999707,0.999576,0.372662,22.97,119.8466,4.6906,2.8235,1.241369,0.8646,0.823852
0.01,10.0,0.975934,1.7,3.2,18.8,513.97,3428.03,0.322965,0.238914,0.06862,0.999757,0.555173,20.33,129.3525,4.7478,2.8239,1.400632,0.979379,0.934114
0.02,11.0,0.973591,2.2,1.6,2.83,1350.0,3098.46,0.588532,0.970921,0.000546,0.999728,0.332942,17.07,138.833,4.7364,2.8241,1.493217,1.045585,0.995831
0.1,12.0,0.96039,0.1,1.2,7200.0,1455.14,2068.91,0.592273,0.980937,0.0,0.999493,0.312346,11.96,148.1825,4.6722,2.8243,1.577473,1.105823,1.051771
0.1,13.0,0.958569,2.9,3.3,0.12,492.46,2229.75,0.612057,0.030476,0.999943,0.999447,0.664755,24.4,157.5207,4.6634,2.8248,1.745108,1.227001,1.168636
0.02,14.0,0.969727,3.3,1.9,0.0,1121.26,3061.43,0.575598,0.931211,0.007947,0.999674,0.375931,18.24,166.9621,4.7176,2.825,1.837549,1.293291,1.230471
0.05,15.0,0.964543,1.0,1.0,616.2,1944.19,2405.92,0.587706,0.96947,3e-06,0.999583,0.335332,15.21,176.3519,4.6924,2.8252,1.918158,1.350968,1.283771
0.05,16.0,0.963023,0.5,2.5,1440.0,441.08,2662.89,0.261441,0.15361,0.000216,0.999552,0.581265,17.1,185.731,4.685,2.8256,2.050707,1.446637,1.375079
0.01,17.0,0.965644,1.3,3.4,209.13,58.43,3729.6,0.219411,0.0,0.048724,0.999605,1.313999,19.92,195.1379,4.6978,2.8262,2.327876,1.648017,1.572112
0.05,18.0,0.959141,3.5,0.8,0.0,2700.0,2701.29,0.573615,0.934306,0.0,0.999462,0.373581,14.39,204.4826,4.6661,2.8265,2.405321,1.703546,1.623321
