Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%]
0.1,1.0,0.977749,2.2,2.7,28.1,697.98,2201.14,0.999757,0.999944,0.99956,0.999777,0.033953,24.54,43.4755,4.7567,2.8204,0.033953,0.004492,0.0
0.01,2.0,0.990453,3.4,0.8,0.0,2700.0,3573.34,0.5998,0.999561,0.0,0.999878,0.131886,13.89,53.1267,4.8185,2.8206,0.114483,0.055232,0.046081
0.1,3.0,0.975511,1.8,1.2,14.48,1800.0,2324.42,0.60434,0.998714,0.012261,0.999752,0.183083,16.66,62.6291,4.7458,2.8209,0.213296,0.125386,0.111783
0.01,4.0,0.988198,3.3,0.9,0.0,2400.0,3565.22,0.599219,0.998115,0.0,0.999864,0.201348,14.3,72.2583,4.8075,2.8212,0.314689,0.197428,0.179191
0.01,5.0,0.987244,4.0,0.4,0.0,5400.0,3545.48,0.599271,0.998249,0.0,0.999858,0.197811,11.94,81.8829,4.8029,2.8214,0.408469,0.263977,0.241122
0.02,6.0,0.984462,2.1,1.6,4.7,1350.0,3120.37,0.598682,0.996355,0.00043,0.999838,0.232819,16.98,91.4705,4.7893,2.8217,0.511949,0.337608,0.310164
0.01,7.0,0.983373,0.5,2.8,1440.0,358.07,3512.52,0.277647,0.194204,0.0,0.999829,0.567758,16.47,101.0521,4.784,2.8222,0.736683,0.499561,0.467544
0.02,8.0,0.981342,1.7,0.2,19.8,10800.0,3111.38,0.598653,0.996728,0.0,0.999812,0.227666,10.89,110.6207,4.7741,2.8224,0.822097,0.560259,0.523698
0.05,9.0,0.975539,2.8,2.0,0.23,1061.27,2612.95,0.821161,0.989509,0.563516,0.999752,0.283492,19.22,120.1197,4.7459,2.8227,0.922971,0.632241,0.591192
0.01,10.0,0.977093,1.4,3.5,131.08,62.97,3743.48,0.233988,0.0,0.085086,0.99977,1.201557,20.3,129.6502,4.7535,2.8236,1.295279,0.902099,0.856582
0.05,11.0,0.970391,2.3,1.8,1.88,1200.0,2610.25,0.688867,0.976554,0.245772,0.999684,0.322412,18.52,139.0986,4.7209,2.8239,1.388717,0.968892,0.918932
0.02,12.0,0.97202,0.7,3.4,1028.57,18.33,3430.1,0.200186,0.000188,0.000422,0.999707,0.908472,17.55,148.5901,4.7288,2.8245,1.62943,1.143161,1.088763
0.1,13.0,0.958005,2.4,3.3,1.18,491.06,2229.43,0.609842,0.024946,0.999944,0.999432,0.674562,24.41,157.9224,4.6606,2.8249,1.796483,1.26391,1.205205
0.01,14.0,0.968887,0.3,3.3,2400.0,21.09,3800.59,0.199934,4e-06,0.0,0.999661,1.087692,15.0,167.3692,4.7135,2.8255,2.045912,1.444828,1.38172
0.1,15.0,0.954102,2.5,2.7,0.74,676.87,2225.66,0.884714,0.712473,0.999653,0.999317,0.456789,22.42,176.6609,4.6416,2.8258,2.147104,1.517678,1.450285
0.01,16.0,0.965745,0.1,2.7,7200.0,353.96,3499.37,0.200054,0.000331,0.0,0.999606,0.881575,12.69,186.0687,4.6983,2.8262,2.331328,1.651194,1.579414
0.01,17.0,0.964754,0.9,1.7,773.06,873.69,3407.19,0.521115,0.802991,1e-06,0.999588,0.433091,16.18,195.462,4.6934,2.8265,2.420305,1.715131,1.638935
0.01,18.0,0.963643,2.9,2.3,0.09,849.89,3417.94,0.467283,0.665019,0.003405,0.999565,0.467346,18.66,204.8452,4.688,2.8267,2.513723,1.782387,1.701781
0.02,19.0,0.961333,2.6,1.4,0.46,1542.86,3102.57,0.537315,0.843453,7.8e-05,0.999515,0.419802,16.48,214.2067,4.6768,2.8269,2.596105,1.841605,1.756625
0.1,20.0,0.948417,0.2,1.1,3600.0,1597.76,2042.25,0.563452,0.909076,0.0,0.999107,0.390362,12.89,223.4395,4.614,2.8271,2.671303,1.89566,1.80649
0.1,21.0,0.944694,1.4,4.0,98.75,10.29,2581.18,0.599771,0.0,0.999959,0.998935,1.872176,24.02,232.664,4.5958,2.828,3.001208,2.136241,2.042993
0.02,22.0,0.956062,2.5,0.7,0.66,3085.71,3151.37,0.532479,0.831509,0.0,0.999378,0.423983,13.55,241.9793,4.6512,2.8282,3.075117,2.189406,2.091846
0.05,23.0,0.950861,2.2,0.9,2.36,2400.0,2674.24,0.527031,0.817974,1e-06,0.999204,0.428444,14.85,251.2417,4.6259,2.8284,3.1485,2.242239,2.140431
0.02,24.0,0.954024,2.6,2.7,0.42,662.7,3054.18,0.440641,0.14509,0.456855,0.999315,0.584459,20.26,260.5323,4.6412,2.8286,3.245517,2.312454,2.206331
0.05,25.0,0.946081,1.9,4.0,7.63,17.32,2949.68,0.599518,0.0,0.999293,0.999003,2.108352,23.13,269.7525,4.6026,2.8295,3.570501,2.549841,2.439642
0.05,26.0,0.945347,2.3,1.2,1.44,1800.0,2634.23,0.45503,0.637453,0.000638,0.998968,0.473127,16.3,278.9588,4.599,2.8297,3.643038,2.602215,2.487806
0.01,1.0,0.99147,3.5,0.4,0.3,5400.0,3558.12,0.599954,0.999945,0.0,0.999883,0.033364,13.0,43.621,4.8234,2.8204,0.033364,0.004669,0.0
0.05,2.0,0.984535,1.9,1.9,10.21,1136.84,2619.35,0.735711,0.999503,0.339855,0.999838,0.137756,18.83,53.2068,4.7897,2.8206,0.117471,0.057257,0.048009
0.02,3.0,0.987871,3.6,0.7,0.0,3085.71,3217.71,0.599459,0.998717,0.0,0.999862,0.183002,13.62,62.8343,4.8059,2.8209,0.216175,0.127294,0.113427
0.1,4.0,0.974451,1.5,0.9,65.87,2400.0,2309.37,0.59941,0.998634,2.1e-05,0.999739,0.185968,15.13,72.3272,4.7406,2.8211,0.310037,0.193904,0.175607
0.01,5.0,0.985878,3.9,3.3,0.0,506.88,3439.13,0.556725,0.813188,0.078701,0.999848,0.429959,20.77,81.9313,4.7962,2.8216,0.503648,0.33309,0.310179
0.1,6.0,0.971184,2.0,1.4,6.8,1542.86,2296.9,0.673651,0.996666,0.187614,0.999696,0.22856,17.55,91.3903,4.7247,2.8219,0.599853,0.401581,0.374257
0.05,7.0,0.976922,2.1,3.3,4.61,498.63,2615.62,0.82717,0.571025,0.997016,0.999768,0.486379,22.97,100.9064,4.7526,2.8223,0.785738,0.535401,0.503573
0.1,8.0,0.969099,3.0,0.3,0.06,7200.0,2350.7,0.598685,0.99688,0.0,0.999664,0.225386,11.49,110.3547,4.7146,2.8226,0.868186,0.594042,0.557861
0.01,9.0,0.980918,3.0,1.2,0.06,1800.0,3522.74,0.596323,0.990905,0.0,0.999808,0.276626,15.35,119.9101,4.7721,2.8228,0.964719,0.662858,0.622116
