Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%]
0.05,1.0,0.985382,1.7,3.3,191.05,419.2,2588.79,0.997292,0.999937,0.993371,0.999844,0.039232,24.07,43.5507,4.7938,2.8204,0.039232,0.004594,0.0
0.05,2.0,0.983858,3.7,2.9,0.0,630.08,2619.7,0.994281,0.99675,0.989037,0.999833,0.227341,22.35,53.1333,4.7864,2.8208,0.167659,0.093887,0.084712
0.01,3.0,0.988517,1.0,1.8,656.97,867.33,3422.87,0.598935,0.9974,4e-06,0.999866,0.216685,16.46,62.7588,4.809,2.8211,0.279235,0.173307,0.159489
0.01,4.0,0.987394,2.7,1.3,0.4,1661.54,3520.27,0.598952,0.997449,0.0,0.999859,0.215773,15.68,72.3773,4.8036,2.8213,0.382927,0.247023,0.228576
0.02,5.0,0.98492,3.5,0.8,0.0,2700.0,3211.22,0.59899,0.997554,0.0,0.999841,0.213778,14.1,81.975,4.7915,2.8216,0.479679,0.315757,0.29272
0.05,6.0,0.97569,1.4,3.8,138.12,28.03,2954.98,0.598731,2e-06,0.996947,0.999754,1.115484,22.53,91.5027,4.7466,2.8226,0.900761,0.620708,0.5932
0.1,7.0,0.966848,3.2,1.3,0.0,1661.54,2305.56,0.622962,0.992885,0.064707,0.999626,0.264835,17.32,100.9198,4.7036,2.8228,0.99156,0.685424,0.653542
0.05,8.0,0.972959,2.7,3.2,0.36,528.38,2606.7,0.82572,0.567961,0.996479,0.99972,0.486974,22.62,110.3968,4.7334,2.8232,1.146802,0.797163,0.760806
0.05,9.0,0.972052,2.8,1.8,0.22,1200.0,2615.49,0.688579,0.982404,0.23919,0.999708,0.308461,18.51,119.8613,4.7289,2.8235,1.241503,0.864845,0.824027
0.05,10.0,0.971081,2.4,1.2,1.23,1800.0,2695.52,0.59404,0.984908,0.000346,0.999694,0.301031,16.22,129.3203,4.7242,2.8237,1.330766,0.928588,0.883327
0.1,11.0,0.962133,3.9,0.9,0.0,2400.0,2334.53,0.594807,0.987219,3.2e-05,0.999533,0.293002,15.26,138.6941,4.6807,2.8239,1.414869,0.988644,0.939068
0.01,12.0,0.974012,1.2,3.1,351.02,398.15,3458.74,0.249146,0.116812,0.006187,0.999734,0.596332,19.24,148.1821,4.7385,2.8243,1.57499,1.104142,1.050077
0.02,13.0,0.969672,2.8,3.5,0.21,436.46,3072.87,0.548106,1.3e-05,0.870415,0.999673,1.036762,21.98,157.6316,4.7174,2.825,1.83079,1.289545,1.231069
0.01,14.0,0.969951,0.5,2.3,1440.0,520.68,3461.5,0.397626,0.494226,0.0,0.999677,0.5011,15.85,167.0774,4.7187,2.8253,1.948903,1.374569,1.311635
0.1,15.0,0.952252,1.7,3.7,17.59,47.79,2559.19,0.599842,0.0,0.999979,0.999255,1.748925,24.95,176.3667,4.6326,2.8262,2.321682,1.645837,1.578728
0.02,16.0,0.961866,0.3,3.4,2400.0,15.03,3447.1,0.199906,1e-06,0.0,0.999527,1.165803,15.25,185.7528,4.6794,2.8268,2.550713,1.812165,1.740722
0.05,17.0,0.956535,2.5,2.2,0.69,901.88,2601.96,0.841541,0.728199,0.875958,0.999392,0.453071,19.94,195.0666,4.6535,2.827,2.638191,1.875129,1.799355
