Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%]
0.1,1.0,0.977608,1.2,2.9,525.12,408.73,2252.0,0.997603,0.999934,0.994185,0.999775,0.041483,23.04,43.4749,4.756,2.8204,0.041483,0.004495,0.0
0.02,2.0,0.987862,1.3,3.0,264.79,477.27,3097.87,0.67481,0.989167,0.197927,0.999862,0.285035,20.0,53.0981,4.8059,2.8208,0.198277,0.116153,0.107021
0.1,3.0,0.975912,3.7,0.1,0.0,21600.0,2300.22,0.599515,0.998909,0.0,0.999757,0.175254,10.38,62.6159,4.7477,2.8211,0.287847,0.179659,0.166111
0.01,4.0,0.985216,1.3,3.4,257.23,363.47,3475.52,0.229735,0.055752,0.018665,0.999843,0.634737,20.06,72.2204,4.793,2.8218,0.567374,0.381272,0.363114
0.05,5.0,0.977255,1.6,3.3,30.63,488.36,2614.64,0.806923,0.520879,0.996542,0.999772,0.496021,23.04,81.7406,4.7543,2.8222,0.759059,0.519231,0.496556
0.02,6.0,0.980956,0.1,0.7,7200.0,2951.81,2629.43,0.598654,0.996731,0.0,0.999808,0.227617,11.24,91.2902,4.7723,2.8225,0.843172,0.578982,0.551753
0.1,7.0,0.966622,0.5,2.7,1440.0,387.58,2303.37,0.34694,0.354278,0.013262,0.999622,0.528585,17.83,100.7071,4.7025,2.8229,1.021834,0.70768,0.676069
0.01,8.0,0.979191,0.5,1.6,1440.0,971.17,3393.65,0.592275,0.980791,0.0,0.999792,0.312716,14.81,110.2413,4.7637,2.8232,1.122804,0.779823,0.74366
0.01,9.0,0.978002,2.3,2.0,1.91,1054.09,3422.11,0.59036,0.975592,0.000417,0.99978,0.324374,17.72,119.764,4.7579,2.8234,1.223166,0.851557,0.810851
0.05,10.0,0.971391,1.7,0.7,18.84,3085.71,2711.6,0.595863,0.989809,0.0,0.999699,0.282094,13.79,129.2294,4.7257,2.8236,1.307745,0.91186,0.866721
0.05,11.0,0.970295,0.3,1.5,2400.0,1061.86,2552.07,0.589924,0.974968,0.0,0.999683,0.325607,14.24,138.6759,4.7204,2.8239,1.401562,0.978951,0.929379
0.05,12.0,0.96931,3.2,1.1,0.0,1963.64,2704.45,0.592265,0.980767,6.2e-05,0.999667,0.312775,15.87,148.1182,4.7156,2.8241,1.488884,1.04135,0.987356
0.1,13.0,0.957386,2.4,3.6,1.2,88.58,2529.96,0.599875,0.0,0.99998,0.999416,1.479309,24.87,157.4503,4.6576,2.825,1.856015,1.308082,1.249851
0.01,14.0,0.968414,1.1,3.4,472.16,26.94,3749.21,0.201596,2.4e-05,0.004139,0.999653,1.006285,18.83,166.8957,4.7112,2.8256,2.083417,1.472922,1.410278
0.05,15.0,0.958541,3.4,3.8,0.0,36.26,2943.86,0.599591,0.0,0.999253,0.999447,1.781992,23.75,176.2547,4.6632,2.8265,2.448593,1.738675,1.671781
0.02,16.0,0.962607,2.7,0.1,0.3,21600.0,3050.94,0.57124,0.928328,0.0,0.999543,0.378034,10.36,185.6409,4.683,2.8267,2.524279,1.792928,1.721669
0.01,17.0,0.962668,3.8,1.7,0.0,1270.59,3412.63,0.515171,0.788102,5.4e-05,0.999545,0.437451,17.13,195.0137,4.6833,2.8269,2.609581,1.854203,1.778541
0.05,18.0,0.955521,2.4,3.0,1.05,567.7,2594.37,0.633564,0.088868,0.995362,0.999362,0.610835,22.27,204.3193,4.6485,2.8272,2.724165,1.937053,1.857072
0.05,19.0,0.954876,2.4,0.6,1.04,3600.0,2695.33,0.562528,0.906648,0.0,0.999342,0.391744,13.23,213.624,4.6454,2.8274,2.797212,1.989534,1.905276
0.1,20.0,0.943359,2.6,3.7,0.44,39.73,2563.07,0.599766,0.0,0.999983,0.998866,1.933093,24.89,222.8317,4.5894,2.8283,3.126842,2.229977,2.141638
0.01,21.0,0.954721,0.1,2.9,7200.0,42.5,3769.72,0.199867,0.0,0.0,0.999337,1.247371,12.63,232.1327,4.6446,2.8288,3.32803,2.376413,2.283807
0.1,22.0,0.940038,2.9,2.1,0.07,949.67,2209.28,0.809635,0.529202,0.995548,0.998673,0.494431,20.72,241.2848,4.5732,2.829,3.407303,2.433691,2.336926
0.02,23.0,0.951482,0.3,1.5,2400.0,1006.42,3003.64,0.381106,0.453152,0.0,0.999227,0.50895,14.0,250.5477,4.6289,2.8292,3.487578,2.491695,2.390648
0.02,24.0,0.950018,2.8,3.1,0.15,528.22,3044.4,0.513209,0.002302,0.781133,0.999172,0.789118,21.42,259.7999,4.6218,2.8295,3.607625,2.578893,2.473571
0.02,25.0,0.949318,0.6,1.2,1200.0,1386.31,2931.88,0.424382,0.561383,0.0,0.999144,0.488249,14.75,269.0413,4.6183,2.8297,3.68176,2.632442,2.522855
0.02,26.0,0.948509,1.8,1.0,10.51,2160.0,3106.32,0.436809,0.592467,0.0,0.999111,0.482182,14.97,278.2795,4.6144,2.8299,3.753983,2.684602,2.570763
0.1,27.0,0.935268,2.9,1.6,0.06,1350.0,2185.93,0.751337,0.541619,0.837554,0.998338,0.492054,18.6,287.3846,4.55,2.8301,3.826441,2.737046,2.619105
0.1,28.0,0.934455,4.0,1.5,0.0,1440.0,2198.73,0.675508,0.541069,0.648564,0.998273,0.49216,18.46,296.4827,4.546,2.8303,3.897909,2.788812,2.666781
0.01,29.0,0.947336,1.6,2.4,21.31,763.3,3409.35,0.243402,0.101867,0.007107,0.99906,0.60365,18.89,305.707,4.6087,2.8306,3.983709,2.85107,2.724777
0.1,30.0,0.932811,2.2,1.1,2.13,1963.64,2245.98,0.440663,0.596635,0.005956,0.998134,0.481359,16.25,314.7914,4.538,2.8307,4.051689,2.900296,2.76994
0.02,31.0,0.941807,3.6,3.7,0.0,29.22,3394.24,0.576066,0.0,0.940776,0.99878,2.224454,22.1,323.9651,4.5818,2.8315,4.344047,3.114335,2.979946
0.02,32.0,0.939725,3.7,3.4,0.0,427.81,3049.01,0.560958,0.0,0.903068,0.998654,1.490458,22.42,333.1208,4.5717,2.832,4.532586,3.252213,3.113715
0.1,33.0,0.926452,0.8,2.5,900.0,402.06,2260.35,0.519968,0.002844,0.798335,0.997481,0.779035,19.21,342.1424,4.5071,2.8323,4.630109,3.32334,3.180828
0.01,34.0,0.939386,0.5,1.6,1440.0,882.31,3385.92,0.238344,0.096544,0.0,0.998632,0.606487,14.94,351.2878,4.57,2.8325,4.70578,3.378363,3.231674
0.1,35.0,0.92544,1.2,0.6,257.79,3600.0,2032.24,0.462849,0.658444,0.0,0.997357,0.468744,13.53,360.2992,4.5022,2.8326,4.764223,3.420768,3.270089
0.05,36.0,0.931856,0.2,2.2,3600.0,504.82,2619.49,0.200877,0.003168,0.0,0.998048,0.773882,14.26,369.373,4.5334,2.8329,4.857596,3.488889,3.334138
0.05,37.0,0.928872,3.0,3.9,0.0,21.29,2935.87,0.599313,0.0,0.999406,0.997752,2.339234,23.78,378.424,4.5189,2.8336,5.125214,3.68533,3.526676
0.05,38.0,0.926016,2.0,3.6,4.34,28.32,2928.48,0.599238,0.0,0.999382,0.997428,2.360005,23.25,387.4392,4.505,2.8343,5.383991,3.875401,3.712861
0.1,39.0,0.917221,1.7,1.6,12.9,1313.42,2158.79,0.617055,0.149013,0.89557,0.996107,0.58297,18.91,396.3678,4.4622,2.8344,5.448597,3.922537,3.756048
0.02,40.0,0.929212,2.0,0.4,4.19,5400.0,3085.42,0.331429,0.329678,0.0,0.997788,0.533792,11.93,405.423,4.5205,2.8346,5.507589,3.965512,3.79496
