Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%]
0.01,1.0,0.991275,3.3,1.7,0.59,1270.59,3456.2,0.599967,0.999942,3.5e-05,0.999882,0.035085,18.35,43.6085,4.8225,2.8204,0.035085,0.004671,0.0
0.05,2.0,0.984167,3.9,2.7,0.0,703.67,2621.12,0.9903,0.998763,0.977068,0.999835,0.181245,21.72,53.1941,4.7879,2.8207,0.141527,0.074782,0.065529
0.05,3.0,0.983257,3.6,0.9,0.0,2400.0,2751.08,0.599419,0.998632,0.0,0.999828,0.186034,14.93,62.775,4.7835,2.821,0.240035,0.144714,0.130907
0.01,4.0,0.988229,2.4,0.2,1.38,10800.0,3490.11,0.599431,0.998645,0.0,0.999864,0.185584,10.87,72.4119,4.8076,2.8212,0.332401,0.210234,0.191794
0.05,5.0,0.979461,0.9,3.0,800.0,106.97,2885.17,0.419142,0.263283,0.284674,0.999794,0.548999,19.23,81.9521,4.765,2.8218,0.571678,0.382624,0.35966
0.1,6.0,0.971636,2.5,0.2,0.87,10800.0,2330.05,0.59913,0.997974,0.0,0.999702,0.204782,10.89,91.4265,4.7269,2.822,0.655315,0.442013,0.414673
0.02,7.0,0.981462,0.4,2.2,1800.0,583.48,3107.83,0.588522,0.9714,0.0,0.999813,0.332128,15.57,100.9847,4.7747,2.8223,0.781808,0.532542,0.500643
0.02,8.0,0.980562,2.8,0.6,0.24,3600.0,3197.16,0.597999,0.995096,0.0,0.999805,0.247015,13.05,110.5415,4.7703,2.8226,0.872009,0.596729,0.560287
0.1,9.0,0.96709,3.0,1.8,0.06,1200.0,2238.66,0.969034,0.991092,0.931678,0.999631,0.275623,19.22,119.9581,4.7048,2.8228,0.967878,0.665161,0.624336
0.1,10.0,0.966044,3.6,1.3,0.0,1661.54,2304.92,0.622606,0.991612,0.065098,0.999612,0.272736,17.32,129.3675,4.6997,2.823,1.058924,0.730157,0.684972
0.1,11.0,0.96515,0.8,0.9,900.0,2138.57,1966.83,0.597468,0.99387,2e-06,0.999595,0.257693,14.71,138.7632,4.6954,2.8233,1.142047,0.789414,0.739888
0.1,12.0,0.9641,1.3,1.4,235.74,1479.24,2155.57,0.656691,0.9882,0.153741,0.999575,0.289154,17.66,148.1494,4.6903,2.8235,1.231671,0.853452,0.799583
0.1,13.0,0.962454,1.2,3.1,356.52,399.76,2266.42,0.695757,0.240766,0.998857,0.99954,0.55469,22.32,157.5249,4.6823,2.8239,1.39196,0.969093,0.910888
0.02,14.0,0.971679,0.2,3.2,3600.0,27.67,3445.26,0.199948,1.8e-05,0.0,0.999703,1.020269,14.26,167.002,4.7271,2.8246,1.660771,1.163896,1.101285
0.1,15.0,0.955157,2.1,3.8,4.15,33.7,2577.27,0.599862,0.0,0.999981,0.999351,1.69432,24.95,176.329,4.6468,2.8255,2.055635,1.451034,1.384237
0.05,16.0,0.961926,2.2,2.3,2.64,853.27,2607.12,0.903509,0.844517,0.914491,0.999528,0.419418,20.32,185.6952,4.6797,2.8258,2.148852,1.518021,1.446851
0.02,17.0,0.965858,2.2,0.1,2.61,21600.0,3053.36,0.581891,0.954924,0.0,0.999608,0.354606,10.37,195.1128,4.6988,2.826,2.226346,1.57355,1.49799
0.02,18.0,0.96417,3.5,2.7,0.0,675.13,3062.01,0.577895,0.536749,0.4082,0.999576,0.492988,20.33,204.5024,4.6906,2.8263,2.330042,1.64821,1.568246
0.02,19.0,0.96269,2.4,3.1,1.09,541.71,3055.79,0.512665,0.048068,0.733821,0.999545,0.642184,21.3,213.8789,4.6834,2.8266,2.459698,1.741961,1.657617
0.02,20.0,0.960863,3.3,3.3,0.0,481.41,3059.06,0.532714,0.00067,0.831362,0.999504,0.847986,22.16,223.239,4.6745,2.827,2.623131,1.860472,1.771784
0.05,21.0,0.952726,2.7,3.9,0.29,25.21,2949.7,0.59957,0.0,0.999289,0.999272,1.947874,23.18,232.5268,4.6349,2.8279,2.969818,2.113232,2.020393
0.02,22.0,0.956352,3.3,1.0,0.0,2160.0,3137.44,0.51645,0.791431,0.0,0.999386,0.436497,15.02,241.8419,4.6526,2.8281,3.046349,2.168302,2.071141
0.02,23.0,0.955932,1.4,0.2,86.52,10800.0,3005.55,0.561825,0.904875,0.0,0.999374,0.392733,10.88,251.1595,4.6505,2.8283,3.114419,2.217242,2.115784
0.01,24.0,0.953304,3.5,3.7,0.0,39.73,3751.43,0.314529,0.0,0.286678,0.999291,2.043471,21.1,260.4649,4.6377,2.8291,3.438867,2.454021,2.348402
0.1,25.0,0.938767,3.1,2.2,0.0,888.01,2211.43,0.776032,0.443244,0.997541,0.998591,0.510858,21.54,269.6048,4.567,2.8293,3.518899,2.511912,2.402149
0.05,26.0,0.943268,3.2,3.8,0.0,26.72,2941.42,0.599507,0.0,0.999337,0.998861,2.110946,23.63,278.7949,4.5889,2.8301,3.826327,2.736645,2.62282
0.1,27.0,0.93447,2.4,1.5,0.91,1440.0,2197.02,0.679171,0.548419,0.650372,0.998274,0.490748,18.2,287.8932,4.5461,2.8303,3.8976,2.788217,2.6703
0.01,28.0,0.947825,0.4,0.5,1800.0,4215.95,2718.97,0.510958,0.777853,0.0,0.999082,0.440324,11.86,297.1188,4.6111,2.8305,3.961215,2.834156,2.711991
0.01,29.0,0.94684,3.7,1.2,0.0,1800.0,3450.43,0.365917,0.415274,0.0,0.999038,0.516296,15.52,306.3393,4.6063,2.8307,4.034338,2.887042,2.76063
0.02,30.0,0.944483,2.4,1.9,0.89,1075.66,3048.13,0.307197,0.254421,0.014109,0.998925,0.551199,18.2,315.5347,4.5948,2.8309,4.111069,2.942659,2.812017
0.01,31.0,0.945052,2.5,2.1,0.57,935.16,3411.83,0.262113,0.154268,0.001538,0.998953,0.581024,18.2,324.7362,4.5976,2.8311,4.190641,3.000398,2.865516
0.1,32.0,0.932188,3.9,0.1,0.0,21600.0,2232.03,0.472891,0.683188,0.0,0.998078,0.463407,10.33,333.8246,4.535,2.8313,4.253811,3.046115,2.907243
0.05,33.0,0.937773,2.0,1.1,4.74,1963.64,2622.33,0.385873,0.465285,0.000135,0.998524,0.506623,15.87,342.9571,4.5622,2.8315,4.321918,3.095444,2.952435
0.01,34.0,0.94266,2.4,2.3,0.86,819.37,3409.99,0.232477,0.076823,0.004956,0.998828,0.618396,18.64,352.1358,4.586,2.8317,4.403285,3.154589,3.007364
0.02,35.0,0.940248,3.0,2.5,0.0,725.17,3050.08,0.344893,0.042613,0.320278,0.998686,0.648193,20.14,361.2912,4.5742,2.8319,4.487185,3.215635,3.064219
0.05,36.0,0.93517,3.9,1.1,0.0,1963.64,2622.09,0.356617,0.392236,0.000142,0.99833,0.520853,16.01,370.3982,4.5495,2.8321,4.554334,3.264386,3.108859
0.1,37.0,0.926696,0.2,1.3,3600.0,1207.83,2106.67,0.331749,0.330617,0.0,0.997509,0.53359,13.3,379.4193,4.5083,2.8323,4.622176,3.313714,3.154187
0.1,38.0,0.925562,1.0,2.0,541.43,712.71,2211.23,0.613864,0.123333,0.91264,0.997372,0.593392,19.2,388.4304,4.5028,2.8325,4.696388,3.367776,3.204236
0.01,39.0,0.936235,2.8,3.9,0.11,21.53,3752.96,0.328357,0.0,0.321686,0.998412,2.359635,20.67,397.5525,4.5547,2.8332,4.973915,3.571395,3.403912
0.05,40.0,0.929448,2.0,2.9,4.41,566.89,2580.43,0.598473,0.001417,0.99586,0.997813,0.812286,22.2,406.6034,4.5217,2.8335,5.068625,3.640592,3.469032
0.01,41.0,0.934689,3.1,0.6,0.0,3600.0,3473.36,0.320618,0.302399,0.0,0.998292,0.539805,12.95,415.7099,4.5472,2.8337,5.131893,3.686631,3.510954
0.05,42.0,0.928208,3.9,0.6,0.0,3600.0,2648.38,0.36099,0.403636,0.0,0.997681,0.518588,13.27,424.753,4.5157,2.8338,5.192186,3.730491,3.550779
0.02,43.0,0.930155,1.2,3.5,242.69,21.71,3382.96,0.451034,0.0,0.628642,0.997884,1.836495,20.43,433.8097,4.5251,2.8344,5.393584,3.878341,3.69467
0.1,44.0,0.91706,1.7,2.1,12.92,902.92,2194.8,0.625078,0.067406,0.997251,0.996077,0.625106,20.84,442.7382,4.4614,2.8346,5.462661,3.928834,3.741216
0.01,45.0,0.930172,4.0,1.3,0.0,1661.54,3397.64,0.239536,0.099897,1e-06,0.997886,0.604684,15.95,451.7948,4.5252,2.8348,5.529074,3.977312,3.785604
0.1,46.0,0.916153,1.1,0.7,367.45,3085.71,1883.79,0.37361,0.436072,0.0,0.995906,0.512244,14.18,460.7126,4.457,2.8349,5.585172,4.018245,3.822623
0.1,47.0,0.915071,4.0,1.3,0.0,1661.54,2182.11,0.347847,0.179686,0.192085,0.995691,0.572308,17.55,469.6218,4.4517,2.8351,5.646973,4.063422,3.863885
0.01,48.0,0.928116,1.6,1.3,18.14,1661.54,3373.31,0.233925,0.085975,1e-06,0.997671,0.612562,15.83,478.6578,4.5152,2.8353,5.712477,4.111286,3.907678
0.01,49.0,0.927544,4.0,0.6,0.0,3600.0,3460.74,0.278922,0.198501,0.0,0.997607,0.566461,12.95,487.6942,4.5124,2.8354,5.772755,4.155296,3.947637
0.1,50.0,0.912821,3.2,2.2,0.0,849.04,2194.3,0.612384,0.034759,0.998595,0.99521,0.658283,21.63,496.5816,4.4408,2.8356,5.84153,4.205685,3.994119
0.1,51.0,0.910346,2.3,3.8,1.1,22.04,2554.44,0.598918,0.0,0.999987,0.994618,2.477066,24.64,505.4536,4.4288,2.8363,6.086548,4.386223,4.170992
0.05,52.0,0.917898,1.8,0.3,8.49,7200.0,2596.21,0.337511,0.345662,0.0,0.996229,0.530389,11.39,514.3988,4.4655,2.8364,6.140302,4.425504,4.206345
0.01,53.0,0.922674,1.0,1.2,498.22,1490.53,3300.6,0.225113,0.064287,0.0,0.996989,0.627522,15.35,523.3804,4.4887,2.8366,6.202953,4.471362,4.24818
0.01,54.0,0.920173,1.3,3.4,108.26,50.77,3714.28,0.259399,0.0,0.150192,0.996612,2.313188,20.39,532.3391,4.4766,2.8372,6.421406,4.632369,4.405389
0.1,55.0,0.90497,0.7,3.9,1028.57,1.24,2556.25,0.501643,0.0,0.757573,0.993071,1.441406,18.83,541.1763,4.4026,2.8376,6.555335,4.731074,4.500351
0.05,56.0,0.912192,4.0,1.6,0.0,1299.28,2543.48,0.292558,0.040391,0.193471,0.995066,0.650853,18.42,550.0562,4.4377,2.8377,6.616696,4.776136,4.54149
0.1,57.0,0.903746,3.2,1.2,0.0,1800.0,2173.43,0.258744,0.089551,0.060978,0.992661,0.610435,17.05,558.8548,4.3966,2.8379,6.673901,4.818195,4.579727
0.01,58.0,0.914851,3.9,3.5,0.0,33.71,3736.88,0.331328,0.0,0.330497,0.995647,2.558604,20.9,567.763,4.4507,2.8385,6.900656,4.985621,4.743432
0.02,59.0,0.912922,1.7,0.7,11.31,3085.71,3056.51,0.235718,0.091679,0.0,0.995233,0.609205,13.59,576.6548,4.4413,2.8387,6.955937,5.026211,4.780097
0.01,60.0,0.913457,3.3,2.5,0.0,686.41,3396.55,0.207958,0.000964,0.021257,0.995351,0.830654,19.57,585.5491,4.4439,2.8389,7.029678,5.080524,4.830463
0.05,61.0,0.907562,0.5,0.3,1440.0,7200.0,1482.11,0.33266,0.334717,0.0,0.993866,0.532711,11.29,594.3831,4.4152,2.839,7.077595,5.115733,4.861825
0.05,62.0,0.906279,2.8,2.5,0.05,684.47,2568.91,0.594727,0.001442,0.988634,0.993484,0.811443,21.41,603.2073,4.409,2.8392,7.148616,5.168096,4.910316
0.02,63.0,0.908885,1.1,3.7,319.36,8.91,3382.48,0.388107,0.0,0.473149,0.994236,1.867173,19.99,612.0709,4.4216,2.8397,7.306159,5.284552,5.023009
0.05,64.0,0.9039,1.1,1.3,314.35,1419.01,2494.82,0.214163,0.033992,0.005057,0.992714,0.659383,16.88,620.8697,4.3974,2.8398,7.362904,5.326378,5.060986
0.02,65.0,0.906793,0.9,3.5,625.64,9.54,3379.12,0.215274,0.0,0.041366,0.99364,1.60814,18.7,629.7109,4.4115,2.8402,7.495785,5.424644,5.155475
0.1,66.0,0.892322,4.0,3.6,0.0,26.38,2537.64,0.597489,0.0,0.999988,0.987468,2.596565,25.17,638.4058,4.3411,2.8408,7.704214,5.57905,5.306389
0.02,67.0,0.903932,3.1,1.1,0.0,1963.64,3008.3,0.209055,0.026273,3e-06,0.992725,0.672028,15.59,647.2063,4.3975,2.8409,7.759505,5.619824,5.343301
0.02,68.0,0.901588,3.4,3.4,0.0,38.64,3367.54,0.578256,0.0,0.949701,0.991879,2.608864,21.91,655.9911,4.3861,2.8415,7.962899,5.770551,5.490428
0.1,69.0,0.887248,2.0,3.4,3.2,33.74,2527.0,0.59682,0.0,0.999988,0.984122,2.598838,24.53,664.6337,4.3164,2.842,8.16088,5.917428,5.633848
0.1,70.0,0.886054,0.4,2.9,1800.0,22.59,2556.37,0.197093,0.0,0.001124,0.983215,1.608871,16.71,673.2659,4.3106,2.8424,8.282341,6.007517,5.720368
0.05,71.0,0.893119,2.0,1.4,3.08,1498.4,2512.25,0.219795,0.01393,0.041594,0.987925,0.702843,17.54,681.9598,4.3449,2.8425,8.336474,6.047601,5.756684
0.01,72.0,0.896755,2.0,3.9,3.06,16.36,3741.82,0.338567,0.0,0.351511,0.989814,2.699612,20.51,690.708,4.3626,2.8431,8.534053,6.194288,5.899816
0.05,73.0,0.889629,0.3,3.4,2400.0,6.76,2943.08,0.197158,0.0,0.0,0.985789,1.675502,15.38,699.3897,4.328,2.8434,8.655619,6.284554,5.986472
0.05,74.0,0.888955,3.0,1.7,0.0,1149.31,2543.68,0.406423,0.005861,0.517529,0.985336,0.744452,18.92,708.0434,4.3247,2.8436,8.710622,6.325384,6.023563
0.05,75.0,0.888976,3.3,0.2,0.0,10800.0,2519.14,0.229953,0.082207,0.0,0.98535,0.614892,10.79,716.7071,4.3248,2.8437,8.756261,6.359219,6.053733
0.02,76.0,0.892149,1.5,2.2,19.73,783.96,3025.51,0.284003,0.000807,0.215517,0.987366,0.839139,19.33,725.3926,4.3402,2.8439,8.817347,6.404575,6.095318
0.01,77.0,0.89274,3.4,2.8,0.0,549.99,3383.5,0.232852,3e-06,0.088272,0.98771,1.109066,20.34,734.0858,4.3431,2.8441,8.896657,6.463531,6.150522
0.1,78.0,0.87881,0.6,0.6,1200.0,3024.76,1749.06,0.229443,0.08535,0.0,0.976517,0.612942,13.23,742.6392,4.2753,2.8443,8.941279,6.496706,6.180083
0.1,79.0,0.877957,0.3,2.1,2400.0,464.99,2244.07,0.195128,3.2e-05,1e-06,0.975573,0.992138,15.48,751.1862,4.2712,2.8445,9.011528,6.54901,6.228801
0.1,80.0,0.877245,3.3,1.3,0.0,1633.66,2118.31,0.34979,0.014173,0.372924,0.974759,0.702006,17.83,759.7252,4.2677,2.8446,9.061693,6.586361,6.26253
0.1,81.0,0.877094,0.6,0.4,1200.0,5111.67,1237.65,0.252512,0.143989,0.0,0.974582,0.584883,12.12,768.2616,4.267,2.8448,9.103727,6.617613,6.290204
0.1,82.0,0.876062,1.8,2.1,6.38,841.37,2173.65,0.594952,0.001837,0.998872,0.973344,0.799903,21.12,776.7904,4.262,2.8449,9.160001,6.659578,6.328556
0.02,83.0,0.887071,0.3,3.1,2400.0,13.0,3405.69,0.196798,0.0,0.0,0.983991,1.711191,15.03,785.4426,4.3155,2.8453,9.276711,6.746444,6.411839
0.1,84.0,0.873707,3.6,3.0,0.0,477.77,2172.56,0.594048,0.0,0.999972,0.970296,1.339342,24.68,793.9506,4.2505,2.8455,9.367562,6.814208,6.476075
0.02,85.0,0.883981,3.6,3.6,0.0,23.4,3369.66,0.57855,0.0,0.955616,0.981518,2.725956,21.82,802.5669,4.3005,2.846,9.547689,6.948404,6.606844
0.05,86.0,0.877655,2.2,3.9,1.07,16.08,2904.57,0.59488,0.0,0.999583,0.975231,2.719623,23.0,811.1365,4.2697,2.8465,9.724301,7.080097,6.735166
0.01,87.0,0.882943,2.0,2.1,2.6,833.21,3389.77,0.19837,0.000431,0.00519,0.980606,0.869025,18.4,819.7323,4.2954,2.8467,9.781919,7.123058,6.77443
0.02,88.0,0.88066,3.1,2.6,0.0,604.18,3014.02,0.473212,1.3e-05,0.693797,0.978442,1.035439,20.89,828.3068,4.2843,2.8469,9.849637,7.173629,6.821341
0.01,89.0,0.881022,0.4,3.5,1800.0,3.66,3779.33,0.19576,0.0,0.0,0.9788,1.716594,15.42,836.9126,4.2861,2.8472,9.95935,7.255506,6.899675
0.1,90.0,0.865957,2.0,3.1,2.53,432.06,2174.81,0.591533,0.0,0.999982,0.9577,1.670051,24.66,845.3462,4.2128,2.8475,10.064952,7.334466,6.975213
0.1,91.0,0.865692,3.9,0.9,0.0,2400.0,2129.7,0.19895,0.018529,0.000249,0.95719,0.689033,15.48,853.7743,4.2115,2.8477,10.109676,7.36791,7.005129
