Terminal Current [C],Cycle,SOH(measured),Stage1 [C],Stage2 [C],S1 [s],S2 [s],S3 [s],Total,r_soh,r_time,r_soh_val,delta_soh,Avg Temp [°C],Throughput [Ah],Discharge Cap [Ah],Terminal V [V],LLI [%],LAM_neg [%],LAM_pos [%]
0.01,1.0,0.988825,0.2,3.8,3600.0,10.47,3822.52,0.505748,0.764437,0.0,0.999868,0.443945,15.25,43.6162,4.8105,2.8209,0.252758,0.157276,0.152613
0.05,2.0,0.977919,3.0,3.7,0.07,75.73,2926.19,0.599587,7e-06,0.999071,0.999779,1.066151,23.52,53.1514,4.7575,2.822,0.702977,0.483152,0.473946
0.01,3.0,0.982694,2.5,2.0,0.86,1062.77,3423.67,0.596379,0.990654,0.000381,0.999823,0.277932,17.68,62.7201,4.7807,2.8223,0.806622,0.55703,0.543227
0.01,4.0,0.981132,1.3,2.9,241.68,506.22,3445.04,0.569631,0.916993,0.007179,0.99981,0.385611,19.33,72.276,4.7731,2.8226,0.941051,0.653399,0.63501
0.02,5.0,0.978493,0.2,2.1,3600.0,625.4,3093.01,0.581387,0.953576,0.0,0.999785,0.356076,13.91,81.8042,4.7603,2.8229,1.058597,0.737554,0.714621
0.02,6.0,0.973686,2.2,3.9,2.93,27.67,3423.14,0.568536,0.0,0.921476,0.99973,1.459953,21.7,91.3059,4.7369,2.824,1.477457,1.041436,1.014028
0.02,7.0,0.973022,1.5,0.6,46.84,3600.0,3141.89,0.59346,0.98379,0.0,0.999721,0.304485,13.08,100.787,4.7337,2.8242,1.559771,1.100104,1.068213
0.05,8.0,0.964547,2.1,3.6,4.17,85.79,2901.49,0.599582,0.0,0.999164,0.999583,1.463415,23.43,110.1867,4.6924,2.8251,1.912658,1.356338,1.320069
0.02,9.0,0.968155,1.4,1.0,112.23,2160.0,3066.19,0.581874,0.95486,0.0,0.999649,0.354676,14.96,119.6158,4.71,2.8253,1.995142,1.41531,1.374593
0.1,10.0,0.955855,2.0,0.3,5.89,7200.0,2319.71,0.591049,0.977936,0.0,0.999372,0.319453,11.47,128.9335,4.6501,2.8255,2.067946,1.467328,1.422369
0.1,11.0,0.95402,2.4,2.2,1.12,909.51,2221.23,0.952775,0.885677,0.996603,0.999315,0.402509,20.82,138.2224,4.6412,2.8257,2.156673,1.531041,1.481791
