Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Reward_Total,Reward_r_soh,Reward_r_time,Reward_delta_soh,Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
0.3,0.3,0.01,1,1.003459,2400.0,7200.0,1673.5,0.395717,0.698092,0.093342,0.028648,39.47,43.7343,4.8817,2.6823,0.028648,0.001351,0.0
0.3,0.3,0.01,2,1.003072,2400.0,7200.0,1693.13,0.395352,0.69901,0.091693,0.028364,40.26,53.5039,4.8799,2.6824,0.057013,0.0027,0.0
0.3,0.3,0.01,3,1.002699,2400.0,7200.0,1692.37,0.395752,0.699747,0.091757,0.028137,40.26,63.2697,4.878,2.6825,0.08515,0.004047,0.0
0.3,0.3,0.01,4,1.002242,2400.0,7200.0,1691.64,0.37189,0.651963,0.091818,0.046237,40.26,73.0315,4.8758,2.6826,0.121695,0.014032,0.00864
0.3,0.3,0.01,5,1.001559,2400.0,7200.0,1690.61,0.332784,0.573664,0.091904,0.096066,40.26,82.7876,4.8725,2.6827,0.180489,0.046517,0.039783
0.3,0.3,0.01,6,1.000882,2400.0,7200.0,1688.73,0.331176,0.570292,0.092061,0.098955,40.26,92.5371,4.8692,2.6828,0.238824,0.078773,0.070699
0.3,0.3,0.01,7,1.00021,2400.0,7200.0,1686.95,0.329642,0.567074,0.09221,0.101782,40.26,102.28,4.8659,2.6829,0.296711,0.110803,0.101393
0.3,0.3,0.01,8,0.999544,2400.0,7200.0,1685.16,0.328179,0.563998,0.09236,0.104546,40.26,112.0163,4.8627,2.683,0.354161,0.142615,0.13187
0.3,0.3,0.01,9,0.998882,2400.0,7200.0,1683.37,0.326783,0.561056,0.09251,0.10725,40.26,121.7461,4.8595,2.6831,0.411183,0.174211,0.162135
0.3,0.3,0.01,10,0.998225,2400.0,7200.0,1681.53,0.325451,0.558237,0.092664,0.109896,40.26,131.4695,4.8563,2.6833,0.467786,0.205598,0.192191
0.3,0.3,0.01,11,0.997573,2400.0,7200.0,1679.85,0.324168,0.55553,0.092806,0.112488,40.26,141.1864,4.8531,2.6834,0.523979,0.236779,0.222045
0.3,0.3,0.01,12,0.996925,2400.0,7200.0,1678.06,0.322945,0.552932,0.092957,0.115025,40.26,150.8969,4.85,2.6835,0.57977,0.267758,0.251698
0.3,0.3,0.01,13,0.996282,2400.0,7200.0,1676.26,0.321771,0.550434,0.093109,0.117511,40.26,160.6011,4.8468,2.6836,0.635167,0.29854,0.281157
0.3,0.3,0.01,14,0.995644,2400.0,7200.0,1674.45,0.320646,0.54803,0.093261,0.119946,40.26,170.299,4.8437,2.6837,0.690179,0.329128,0.310425
0.3,0.3,0.01,15,0.99501,2400.0,7200.0,1672.63,0.319565,0.545714,0.093415,0.122332,40.25,179.9907,4.8406,2.6838,0.744812,0.359526,0.339504
0.3,0.3,0.01,16,0.99438,2400.0,7200.0,1670.77,0.318527,0.543481,0.093573,0.124671,40.25,189.6762,4.8376,2.6839,0.799075,0.389739,0.3684
0.3,0.3,0.01,17,0.993754,2400.0,7200.0,1668.9,0.317528,0.541325,0.093732,0.126964,40.25,199.3555,4.8345,2.684,0.852974,0.419768,0.397115
0.3,0.3,0.01,18,0.993132,2400.0,7200.0,1667.04,0.316567,0.539243,0.09389,0.129214,40.25,209.0287,4.8315,2.6841,0.906516,0.449619,0.425654
0.3,0.3,0.01,19,0.992514,2400.0,7200.0,1665.16,0.31564,0.53723,0.09405,0.13142,40.25,218.6958,4.8285,2.6842,0.959709,0.479293,0.454018
0.3,0.3,0.01,20,0.991901,2400.0,7200.0,1663.28,0.314747,0.535283,0.09421,0.133585,40.25,228.3569,4.8255,2.6843,1.012557,0.508795,0.482212
0.3,0.3,0.01,21,0.991291,2400.0,7200.0,1661.38,0.313885,0.533399,0.094372,0.13571,40.25,238.012,4.8225,2.6844,1.065069,0.538128,0.510239
0.3,0.3,0.01,22,0.990685,2400.0,7200.0,1659.47,0.313054,0.531573,0.094536,0.137796,40.25,247.6611,4.8196,2.6845,1.117249,0.567294,0.538101
0.3,0.3,0.01,23,0.990083,2400.0,7200.0,1657.57,0.31225,0.529802,0.094698,0.139845,40.25,257.3043,4.8167,2.6846,1.169104,0.596297,0.565802
0.3,0.3,0.01,24,0.989484,2400.0,7200.0,1655.66,0.311474,0.528085,0.094862,0.141856,40.25,266.9416,4.8138,2.6847,1.22064,0.625139,0.593345
