Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Reward_Total,Reward_r_soh,Reward_r_time,Reward_delta_soh,Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
1.0,1.0,0.01,1,0.991372,720.0,1925.85,3220.25,0.820524,0.682778,0.95827,0.033743,15.64,43.6067,4.8229,2.8204,0.033743,0.00467,0.0
1.0,1.0,0.01,2,0.990478,660.54,1963.22,3233.26,0.7512,0.543768,0.958631,0.124367,14.52,53.249,4.8186,2.8206,0.110547,0.052159,0.042829
1.0,1.0,0.01,3,0.989362,658.43,1962.58,3233.16,0.727556,0.496368,0.958744,0.183739,14.51,62.8815,4.8132,2.8209,0.210156,0.122802,0.108824
1.0,1.0,0.01,4,0.988257,656.09,1961.39,3232.95,0.723948,0.489003,0.958892,0.194856,14.51,72.5032,4.8078,2.8211,0.308766,0.192776,0.174164
1.0,1.0,0.01,5,0.987162,653.79,1960.15,3232.75,0.720615,0.482192,0.959039,0.205648,14.52,82.114,4.8025,2.8214,0.406408,0.262102,0.238868
1.0,1.0,0.01,6,0.986078,651.52,1959.01,3232.45,0.717525,0.475865,0.959185,0.216131,14.52,91.7143,4.7972,2.8217,0.50311,0.3308,0.302955
1.0,1.0,0.01,7,0.985004,649.26,1957.84,3232.21,0.714646,0.469964,0.959328,0.22632,14.52,101.3043,4.792,2.8219,0.598899,0.398887,0.366443
1.0,1.0,0.01,8,0.98394,647.01,1956.62,3232.02,0.711956,0.464442,0.95947,0.236228,14.53,110.884,4.7868,2.8221,0.6938,0.466381,0.429349
1.0,1.0,0.01,9,0.982885,644.77,1955.44,3231.82,0.709435,0.459259,0.959611,0.245868,14.53,120.4534,4.7816,2.8224,0.787839,0.533298,0.49169
1.0,1.0,0.01,10,0.98184,642.53,1954.33,3231.56,0.707065,0.45438,0.959751,0.255253,14.54,130.0126,4.7766,2.8226,0.881037,0.599653,0.55348
1.0,1.0,0.01,11,0.980804,640.3,1953.2,3231.34,0.704832,0.449775,0.959889,0.264391,14.54,139.5618,4.7715,2.8229,0.973417,0.665461,0.614735
1.0,1.0,0.01,12,0.979777,638.08,1952.04,3231.17,0.702723,0.44542,0.960025,0.273295,14.54,149.1007,4.7665,2.8231,1.065,0.730736,0.675467
1.0,1.0,0.01,13,0.978759,635.87,1950.91,3230.97,0.700726,0.441291,0.960161,0.281974,14.55,158.6297,4.7616,2.8234,1.155806,0.795492,0.735692
1.0,1.0,0.01,14,0.977749,633.67,1949.84,3230.74,0.698833,0.437371,0.960294,0.290437,14.55,168.1488,4.7567,2.8236,1.245854,0.859741,0.79542
1.0,1.0,0.01,15,0.976748,631.5,1948.73,3230.55,0.697034,0.433641,0.960427,0.298692,14.56,177.6581,4.7518,2.8238,1.335162,0.923496,0.854665
1.0,1.0,0.01,16,0.975754,629.35,1947.57,3230.41,0.695322,0.430086,0.960557,0.306749,14.56,187.1576,4.747,2.8241,1.423748,0.986769,0.913438
1.0,1.0,0.01,17,0.974769,627.22,1946.44,3230.24,0.69369,0.426693,0.960687,0.314614,14.57,196.6475,4.7422,2.8243,1.511629,1.04957,0.97175
1.0,1.0,0.01,18,0.973791,625.13,1945.33,3230.03,0.692133,0.423451,0.960816,0.322294,14.57,206.1278,4.7374,2.8245,1.598821,1.111911,1.029612
1.0,1.0,0.01,19,0.97282,623.06,1944.19,3229.84,0.690646,0.420348,0.960943,0.329797,14.57,215.5985,4.7327,2.8247,1.685339,1.173801,1.087035
1.0,1.0,0.01,20,0.971857,621.01,1943.03,3229.69,0.689222,0.417374,0.961069,0.337129,14.58,225.0598,4.728,2.825,1.771199,1.235252,1.144027
1.0,1.0,0.01,21,0.970902,618.97,1941.87,3229.54,0.687858,0.414521,0.961195,0.344295,14.58,234.5118,4.7233,2.8252,1.856414,1.296272,1.200599
1.0,1.0,0.01,22,0.969953,616.93,1940.78,3229.35,0.68655,0.411781,0.961318,0.351303,14.59,243.9545,4.7187,2.8254,1.940998,1.35687,1.256759
1.0,1.0,0.01,23,0.969011,614.88,1939.7,3229.16,0.685294,0.409147,0.961442,0.358158,14.59,253.3879,4.7142,2.8256,2.024965,1.417056,1.312516
1.0,1.0,0.01,24,0.968076,612.83,1938.61,3229.01,0.684087,0.406612,0.961563,0.364864,14.59,262.8122,4.7096,2.8259,2.108327,1.476838,1.36788
1.0,1.0,0.01,25,0.967148,610.76,1937.55,3228.87,0.682927,0.40417,0.961684,0.371427,14.6,272.2275,4.7051,2.8261,2.191097,1.536224,1.422857
1.0,1.0,0.01,26,0.966226,608.67,1936.55,3228.71,0.68181,0.401816,0.961803,0.377851,14.6,281.6339,4.7006,2.8263,2.273286,1.595222,1.477456
1.0,1.0,0.01,27,0.965311,606.56,1935.61,3228.56,0.680733,0.399544,0.961921,0.384142,14.6,291.0314,4.6962,2.8265,2.354907,1.65384,1.531684
1.0,1.0,0.01,28,0.964402,604.42,1934.7,3228.37,0.679695,0.397351,0.962039,0.390303,14.61,300.4202,4.6917,2.8267,2.435969,1.712085,1.585549
1.0,1.0,0.01,29,0.963499,602.25,1933.81,3228.24,0.678694,0.395231,0.962156,0.396339,14.61,309.8003,4.6873,2.827,2.516485,1.769965,1.639058
1.0,1.0,0.01,30,0.962602,600.05,1932.97,3228.1,0.677726,0.393182,0.962271,0.402253,14.62,319.1716,4.683,2.8272,2.596463,1.827486,1.692217
1.0,1.0,0.01,31,0.961711,597.85,1932.18,3227.94,0.676792,0.391198,0.962386,0.408049,14.61,328.5344,4.6786,2.8274,2.675915,1.884654,1.745034
1.0,1.0,0.01,32,0.960825,595.66,1931.4,3227.76,0.675888,0.389277,0.9625,0.413732,14.61,337.8884,4.6743,2.8276,2.754849,1.941477,1.797513
1.0,1.0,0.01,33,0.959946,593.49,1930.58,3227.62,0.675014,0.387416,0.962612,0.419304,14.62,347.2338,4.67,2.8278,2.833276,1.997961,1.849663
1.0,1.0,0.01,34,0.959072,591.37,1929.73,3227.47,0.674168,0.385612,0.962724,0.424768,14.62,356.5707,4.6658,2.828,2.911204,2.054112,1.901488
1.0,1.0,0.01,35,0.958203,589.3,1928.85,3227.33,0.673348,0.383861,0.962835,0.430128,14.62,365.8991,4.6616,2.8282,2.988642,2.109935,1.952995
1.0,1.0,0.01,36,0.95734,587.27,1927.96,3227.15,0.672554,0.382162,0.962946,0.435388,14.63,375.219,4.6574,2.8284,3.065599,2.165436,2.004189
1.0,1.0,0.01,37,0.956483,585.28,1927.05,3227.0,0.671784,0.380513,0.963055,0.440549,14.63,384.5305,4.6532,2.8287,3.142083,2.220621,2.055076
1.0,1.0,0.01,38,0.95563,583.33,1926.1,3226.95,0.671034,0.378909,0.96316,0.445617,14.64,393.8336,4.6491,2.8289,3.218102,2.275496,2.105661
1.0,1.0,0.01,39,0.954783,581.4,1925.12,3226.86,0.670308,0.37735,0.963266,0.450592,14.64,403.1285,4.6449,2.8291,3.293665,2.330065,2.155949
1.0,1.0,0.01,40,0.95394,579.49,1924.14,3226.74,0.669603,0.375834,0.963372,0.455477,14.64,412.4151,4.6408,2.8293,3.368778,2.384334,2.205945
1.0,1.0,0.01,41,0.953103,577.6,1923.19,3226.65,0.668917,0.374359,0.963475,0.460275,14.65,421.6933,4.6368,2.8295,3.44345,2.438307,2.255655
1.0,1.0,0.01,42,0.952271,575.7,1922.25,3226.58,0.66825,0.372923,0.963577,0.464988,14.65,430.9634,4.6327,2.8297,3.517687,2.49199,2.305082
1.0,1.0,0.01,43,0.951443,573.81,1921.31,3226.58,0.6676,0.371524,0.963677,0.469621,14.65,440.2255,4.6287,2.8299,3.591497,2.545387,2.354232
1.0,1.0,0.01,44,0.950621,571.92,1920.37,3226.63,0.666967,0.370161,0.963774,0.474173,14.66,449.4795,4.6247,2.8301,3.664887,2.598503,2.40311
1.0,1.0,0.01,45,0.949803,570.02,1919.46,3226.69,0.666351,0.368832,0.96387,0.478648,14.62,458.7253,4.6207,2.8303,3.737862,2.651343,2.451719
1.0,1.0,0.01,46,0.948989,568.11,1918.58,3226.75,0.66575,0.367536,0.963965,0.483047,14.62,467.9632,4.6167,2.8305,3.810431,2.70391,2.500064
