Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Reward_Total,Reward_r_soh,Reward_r_time,Reward_delta_soh,Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
1.0,1.0,0.01,1,0.996132,720.0,2099.08,2194.08,0.84626,0.710741,0.98178,0.024926,28.48,43.6077,4.8461,2.7684,0.024926,0.002301,0.0
1.0,1.0,0.01,2,0.9958,720.0,2098.04,2194.45,0.846601,0.711411,0.981792,0.02474,28.48,53.2993,4.8445,2.7685,0.049667,0.0046,0.0
1.0,1.0,0.01,3,0.995472,720.0,2096.92,2194.99,0.846934,0.712066,0.981802,0.02456,28.48,62.9877,4.8429,2.7686,0.074226,0.006897,0.0
1.0,1.0,0.01,4,0.995145,720.0,2095.77,2195.56,0.847261,0.712709,0.981813,0.024384,28.48,72.6731,4.8413,2.7687,0.09861,0.00919,0.0
1.0,1.0,0.01,5,0.994821,720.0,2094.64,2196.15,0.847582,0.713342,0.981822,0.024211,28.48,82.3554,4.8397,2.7687,0.122821,0.011482,0.0
1.0,1.0,0.01,6,0.994371,720.0,2093.52,2196.78,0.811478,0.641125,0.981831,0.051444,28.48,92.034,4.8375,2.7689,0.159542,0.026467,0.012698
1.0,1.0,0.01,7,0.993819,720.0,2091.97,2197.34,0.791324,0.6008,0.981849,0.075293,28.49,101.7078,4.8348,2.769,0.206427,0.051802,0.03575
1.0,1.0,0.01,8,0.993271,720.0,2090.06,2197.8,0.790163,0.598451,0.981874,0.076926,28.49,111.3763,4.8322,2.7691,0.252991,0.076986,0.058654
1.0,1.0,0.01,9,0.992726,720.0,2088.19,2198.32,0.789042,0.596186,0.981898,0.07853,28.49,121.0394,4.8295,2.7693,0.299239,0.10202,0.081413
1.0,1.0,0.01,10,0.992185,720.0,2086.33,2198.79,0.787963,0.594002,0.981923,0.080103,28.49,130.6973,4.8269,2.7694,0.345179,0.126909,0.104029
1.0,1.0,0.01,11,0.991647,720.0,2084.45,2199.3,0.78692,0.591892,0.981947,0.081647,28.49,140.3498,4.8243,2.7695,0.390817,0.151655,0.126506
1.0,1.0,0.01,12,0.991114,720.0,2082.56,2199.82,0.785913,0.589854,0.981972,0.083163,28.5,149.9971,4.8217,2.7696,0.436159,0.176262,0.148846
1.0,1.0,0.01,13,0.990583,720.0,2080.7,2200.31,0.784939,0.587882,0.981996,0.084651,28.5,159.6392,4.8191,2.7698,0.481211,0.200732,0.171053
1.0,1.0,0.01,14,0.990056,720.0,2078.85,2200.81,0.783997,0.585973,0.98202,0.086114,28.5,169.276,4.8165,2.7699,0.525979,0.225068,0.19313
