Rate_Stage1(C),Rate_Stage2(C),Terminal_Current(C),Cycle,SOH(measured),Stage1_Time(s),Stage2_Time(s),Stage3_Time(s),Avg Temp(°C),Throughput(Ah),Discharge Cap(Ah),Terminal V(V),LLI(%),LAM_neg(%),LAM_pos(%)
4.0,4.0,0.01,1,0.995786,0.0,377.97,2626.97,37.18,43.6074,4.8444,2.7684,0.036122,0.002301,0.0
4.0,4.0,0.01,2,0.99531,0.0,377.44,2627.8,37.18,53.2957,4.8421,2.7685,0.071839,0.004598,0.0
4.0,4.0,0.01,3,0.994741,0.0,376.98,2628.64,37.18,62.9801,4.8393,2.7687,0.116982,0.016718,0.009828
4.0,4.0,0.01,4,0.993818,0.0,376.32,2629.53,37.18,72.6576,4.8348,2.7689,0.197198,0.064328,0.055152
4.0,4.0,0.01,5,0.992903,0.0,373.6,2631.75,37.2,82.3256,4.8304,2.7691,0.276676,0.111551,0.100094
4.0,4.0,0.01,6,0.991997,0.0,372.56,2632.36,37.21,91.9844,4.826,2.7693,0.355465,0.158416,0.144683
4.0,4.0,0.01,7,0.991098,0.0,371.72,2632.76,37.22,101.6349,4.8216,2.7695,0.433606,0.204948,0.188945
4.0,4.0,0.01,8,0.990206,0.0,370.7,2633.21,37.23,111.2777,4.8173,2.7697,0.511142,0.251171,0.232903
4.0,4.0,0.01,9,0.989321,0.0,366.95,2636.58,37.25,120.9103,4.813,2.7699,0.588105,0.297105,0.276577
4.0,4.0,0.01,10,0.988442,0.0,365.98,2637.11,37.26,130.535,4.8087,2.7701,0.664531,0.342771,0.319988
4.0,4.0,0.01,11,0.98757,0.0,365.08,2637.6,37.27,140.15,4.8044,2.7703,0.740449,0.388185,0.363152
4.0,4.0,0.01,12,0.986702,0.0,363.93,2638.33,37.28,149.7566,4.8002,2.7705,0.815889,0.433365,0.406087
4.0,4.0,0.01,13,0.985841,0.0,361.12,2640.69,37.09,159.3551,4.796,2.7707,0.890877,0.478327,0.448808
4.0,4.0,0.01,14,0.984984,0.0,360.27,2641.17,37.1,168.9449,4.7919,2.7709,0.965437,0.523084,0.491329
4.0,4.0,0.01,15,0.984132,0.0,359.42,2641.67,36.84,178.5266,4.7877,2.7711,1.039593,0.567649,0.533664
4.0,4.0,0.01,16,0.983285,0.0,358.35,2642.41,36.85,188.0994,4.7836,2.7713,1.113363,0.612036,0.575823
4.0,4.0,0.01,17,0.982442,0.0,354.7,2645.79,36.87,197.6644,4.7795,2.7715,1.186768,0.656252,0.617819
4.0,4.0,0.01,18,0.981603,0.0,353.6,2646.61,36.88,207.2215,4.7754,2.7717,1.259824,0.70031,0.65966
4.0,4.0,0.01,19,0.980768,0.0,352.38,2647.51,36.89,216.7702,4.7713,2.7719,1.33255,0.74422,0.701357
4.0,4.0,0.01,20,0.979937,0.0,351.13,2648.6,36.9,226.3118,4.7673,2.7721,1.404964,0.787991,0.74292
4.0,4.0,0.01,21,0.97911,0.0,347.93,2651.63,36.93,235.8448,4.7633,2.7723,1.477079,0.831632,0.784358
4.0,4.0,0.01,22,0.978286,0.0,347.14,2652.25,36.93,245.3692,4.7593,2.7725,1.54891,0.875152,0.825679
4.0,4.0,0.01,23,0.977465,0.0,346.46,2652.58,36.94,254.8865,4.7553,2.7727,1.620473,0.918558,0.866891
4.0,4.0,0.01,24,0.976647,0.0,345.67,2653.44,36.94,264.396,4.7513,2.7728,1.691782,0.961861,0.908004
4.0,4.0,0.01,25,0.975832,0.0,344.68,2654.29,36.95,273.8973,4.7473,2.773,1.762851,1.005067,0.949025
