Throughput capacity [kA.h],CDend SOH [%],CDend LLI [%],CDend LAM_ne [%],CDend LAM_pe [%],Res_midSOC
0.038467708977984356,99.9916051955341,0.0,0.0,0.0,26.351895495243127
0.7843832898970186,97.20111383876839,2.2611692489478807,1.4964818699173321,1.375506065078469,26.99598169354065
1.5108136582129963,95.05981267441787,4.146054079133532,2.7903802922582432,2.555842799752972,27.55536145031101
2.221363297187303,93.23647471374736,5.751562055616688,3.906539392184316,3.5641130113514996,28.059323452547602
2.9182265494119877,91.62936888796162,7.167237961769246,4.9014408642715,4.455743232205844,28.527506385679047
3.6029547936177755,90.18149652733618,8.443155494421239,5.8067331548321,5.261653568558544,28.970679709341418
4.276693515432171,88.85711208096983,9.610727442609868,6.642325386441572,6.001205309048485,29.395853273401862
4.940344499230134,87.6320075519283,10.69119158386701,7.421694468020612,6.687471796855437,29.808151487111623
5.594648386925255,86.48889579508318,11.699701157293118,8.15446813211642,7.329772457811989,30.211094530512206
6.24021382213084,85.41490357865715,12.647518031678484,8.847820701599007,7.935024524094613,30.606838152164073
6.877542034280928,84.40012198342076,13.543288280986843,9.507275951474615,8.50853251200958,30.996769328536722
7.50707482542109,83.43669205118424,14.393814789630365,10.137183381496872,9.054465136527845,31.38198225905544
8.129205969456116,82.51823072974625,15.204537910845229,10.74102685031788,9.57615559913948,31.763441295019664
8.744280724891976,81.63970141216397,15.979896294925055,11.321652622671408,10.076323781383111,32.1419269666249
9.35259895360484,80.79699658381962,16.723593645201596,11.881442899090377,10.557244331202964,32.51814934813453
9.954426116407946,79.98662502383846,17.438759649912306,12.422409577010374,11.020841061506037,32.89270021621391
