Throughput capacity [kA.h],CDend SOH [%],CDend LLI [%],CDend LAM_ne [%],CDend LAM_pe [%],Res_midSOC
0.03849055946917139,99.9888150571117,0.0,0.0,0.0,25.865559844977426
0.774280797824802,95.15321364994821,4.160541247838112,3.1409499367053617,2.915952957597767,26.670393547943227
1.4763271988972033,91.58417780585093,7.377750164957108,5.6254397031231695,5.195996728616414,27.366124755335086
2.1521795470611815,88.64035432409469,10.033038391507587,7.703242993289128,7.084251093204097,28.0062039420498
2.8061716211865146,86.10674875194695,12.319743042710806,9.512775028277831,8.715918156051849,28.61839054507289
3.4412149616115117,83.86819086112806,14.341302830720991,11.128290973985633,10.163167000290818,29.215124408073656
4.059438430522118,81.85413649765984,16.160928684223062,12.595341334195364,11.470004810120582,29.800424019744476
4.662480398167879,80.01780981793587,17.820587986040515,13.944236412188848,12.665655677101517,30.37786680485972
5.251635537384569,78.3260436462909,19.350002510299635,15.196586193306194,13.770746188848214,30.9507467597264
5.827969892644806,76.75474081158514,20.77093560091684,16.36815620579727,14.80047838459464,31.521791994549275
6.392366326991263,75.28555394432948,22.099956533348973,17.471059506719122,15.766354199636023,32.09340105481733
6.945594321337735,73.90432737189403,23.349911297829685,18.51472002689013,16.677292448159463,32.66765238975715
7.48832125914903,72.59990079136863,24.53084916759549,19.506438193165444,17.540345859229213,33.24634827663626
8.021101091204752,71.36303869824381,25.651111204229217,20.452446676483483,18.361209511654298,33.8314349438491
8.544445477216735,70.18641775755378,26.717317434968834,21.357529977673973,19.14456351193795,34.424768058628175
9.058824151939863,69.0638931580218,27.735007726705664,22.225722895995826,19.89430680004437,35.02814268086105
