Throughput capacity [kA.h],CDend SOH [%],CDend LLI [%],CDend LAM_ne [%],CDend LAM_pe [%],Res_midSOC
0.0385512602639347,100.01230165558698,0.0,0.0,0.0,26.04473274068564
0.8014935242518295,96.98767204277816,2.5425592077537584,1.7660938306452434,1.677284306120086,26.61152253484449
1.5427036475678033,94.61990444096247,4.660035226849601,3.2800878113026344,3.1091045327060085,27.110395535602372
2.2662648199843116,92.61495648918651,6.454407433304244,4.574651436281751,4.3264863553344135,27.561199740472375
2.9747216221165433,90.85814928214948,8.02719598240662,5.718221313873073,5.396911678109417,27.980656531172166
3.6698678471251696,89.28482752771512,9.435801020521073,6.749544363605475,6.3584863066859505,28.378102171506292
4.353030519715031,87.85462941415435,10.716612198762999,7.693235795723186,7.2353533383331055,28.759973528523375
5.025272080516265,86.5398270076743,11.894470948713543,8.566107614417607,8.043983964568858,29.130710713745778
5.687455204629135,85.32046280564293,12.987200543595067,9.380242061631572,8.796188481447654,29.492765454939374
6.340282275893074,84.18165183139403,14.00809959169582,10.144679676047442,9.500772604055497,29.84748312829133
6.984360045788904,83.11189617926536,14.96739375941395,10.866383949098235,10.164499650706826,30.195940079262762
7.620211312341979,82.10216725055759,15.873144172482224,11.550856452732939,10.792700800416387,30.539084791205973
8.248292176834097,81.14518178450292,16.731837783316216,12.20253238399389,11.389665920159075,30.877730780843216
8.86899522176752,80.23496968160813,17.548791955208632,12.825052754207789,11.958912732575754,31.21254521480097
9.482675696310737,79.3666071138902,18.328424710076906,13.421444381911696,12.50336573202604,31.544096521181864
10.089654966315749,78.53590949431145,19.074450678873724,13.994254783790339,13.025483051614273,31.8728669959091
